Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,Wait,TrialLag,K,StimDur,Delay,VarDelay,RewardSize,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0,,,,,0,0.337312,7.423715,7.086403,2.8181000000000003,,,3.0768,4.0768,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
1,1,,0,0,1,0,,,,,0,7.435111,14.524315,7.089204,2.8206,,,3.0796,4.0796,1.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
2,0,,0,0,1,0,,,,,0,14.576410999999998,21.662815,7.086403999999997,2.8181000000000003,,,3.0768,4.0768,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
3,1,,0,0,1,0,,,,,0,21.672411,28.76161500000001,7.089203999999999,2.8206,,,3.0796,4.0796,1.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
4,0,,0,0,1,0,,,,,0,28.777111,35.863515,7.086403999999997,2.8181000000000003,,,3.0768,4.0768,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
5,1,,0,0,1,0,,,,,0,35.879912,42.969115,7.089203000000005,2.8206,,,3.0796,4.0796,1.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
6,0,,0,0,1,0,,,,,0,42.981911,50.06831500000001,7.086404000000003,2.8181000000000003,,,3.0768,4.0768,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
7,1,,1,0,0,0,1.0,,1.0,,1,50.080111,56.176314,6.0962029999999965,2.8206,3.0961000000000003,0.2755000000000001,3.0796,3.0865,0.0068999999999999,iaa,iaa,1,,0,0,1,1,70.0,,[],[],"[3.0865, 3.1094, 3.1304000000000003, 3.143, 3.1617, 3.1768, 3.1937, 3.2102, 3.2289000000000003, 3.2457000000000003, 3.2609000000000004, 3.2790000000000004, 3.2960000000000003, 3.3152000000000004, 3.3279, 3.3619000000000003, 3.3828, 3.3952, 3.4129, 3.4291, 3.4631000000000003, 3.4970000000000003]","[3.1019, 3.1191, 3.1341, 3.1518, 3.1655, 3.1857, 3.1999, 3.2177, 3.2345, 3.2517, 3.2686, 3.2805, 3.3025, 3.317, 3.3348, 3.3648, 3.3834, 3.4018, 3.4171, 3.4347000000000003, 3.4685, 3.5]",0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
8,0,0.0,0,0,1,0,,1.0,,,0,56.194612,63.281015,7.086402999999998,2.8181000000000003,,,3.0768,4.0768,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[],[],"[0.0001, 0.0149, 0.0336, 0.0515, 0.0687, 0.084, 0.1038, 0.118, 0.154, 0.1579]","[0.006, 0.0202, 0.0425, 0.0562, 0.0772, 0.0895, 0.1103, 0.1261, 0.1558, 0.1587]",0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
9,1,,0,0,1,0,,,,,0,63.292211,70.381415,7.089204000000002,2.8206,,,3.0796,4.0796,1.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0086,0.0089,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod3,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod3,14,36003,14,1.8.2,014_stage_training_v6_20250519-125825,2025-05-19,12:58:36.875492,13:15:34.941654
