Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,Wait,TrialLag,K,StimDur,Delay,VarDelay,RewardSize,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0,,,,,0,0.336513,7.423116,7.086603,2.8181000000000003,,,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
1,1,,0,0,1,0,,,,,0,7.433413,14.523216,7.089803,2.8206,,,3.0802,4.0802000000000005,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
2,0,,0,0,1,0,,,,,0,14.567413,21.654016,7.086602999999998,2.8181000000000003,,,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
3,1,,0,0,1,0,,,,,0,21.664913,28.754716,7.089803,2.8206,,,3.0802,4.0802000000000005,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
4,0,,1,0,0,0,1.0,,0.0,,1,28.765113,34.859616,6.094503000000003,2.8181000000000003,3.0944000000000003,0.2763,3.077,3.0848,0.0078,aaa,aaa,1,,0,1,0,1,-70.0,,[3.0848],[3.0894000000000004],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
5,1,0.0,0,0,1,0,,1.0,,,0,34.869413,41.959216,7.089802999999996,2.8206,,,3.0802,4.0802000000000005,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
6,0,,1,0,0,0,1.0,,0.0,,1,41.970213,48.062016,6.091802999999999,2.8181000000000003,3.0917000000000003,0.2736,3.077,3.0821,0.0051000000000001,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.0821, 3.1181, 3.1574, 3.3046, 3.3797, 3.4181000000000004, 3.4545000000000003, 3.4905000000000004, 3.5301]","[3.0907, 3.1232, 3.1588000000000003, 3.3062, 3.3868, 3.4202000000000004, 3.4625000000000004, 3.5003, 3.5358]",[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
7,1,0.0,0,0,1,0,,1.0,,,0,48.072613,55.162416,7.089803000000003,2.8206,,,3.0802,4.0802000000000005,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
8,0,,0,0,1,0,,,,,0,55.173913,62.260516,7.086603000000004,2.8181000000000003,,,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
9,1,,0,0,1,0,,,,,0,62.271613,69.361416,7.089803000000003,2.8206,,,3.0802,4.0802000000000005,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0088,0.0096,100,1,0.5,2.0,0.0,0,0,1,0,0,1,3,0,0,0.0,0.5,LR,5.0,RT,0,0,0,0,0.25,0.0,9.999999999976694e-05,1.0,/dev/ttyACM-Bpod5,stage_training_v6,Emma,pv_nmdar_eranet,2AFC_6,Bpod5,16,36005,16,1.8.2,016_stage_training_v6_20250519-130208,2025-05-19,13:02:20.668355,13:16:25.052943
