Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ValveLeft,ValveRight
0,0,,0,0,1,0,,,,,0,0.336512,5.420914,5.084402,2.8182,4.0844000000000005,1.0,3.0749,4.0749,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
1,1,,1,0,0,0,1.0,,1.0,,1,5.431012,9.784614,4.353602,2.8207,3.3536,0.5329000000000002,3.0782000000000003,3.0866,0.008399999999999963,iaa,iaa,1,,0,0,1,1,70.0,,"[1.4937, 1.6622, 1.7756, 2.7532]","[1.5284, 1.6843, 1.8303, 2.827]","[1.5162, 1.6415000000000002, 3.0866]","[1.5278, 1.6886]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
2,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,9.795612,14.267414000000002,4.471801999999999,2.8182,3.4718,0.6536,3.0749,3.2056,0.13070000000000004,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[1.8694, 3.0089, 3.0188, 3.0267, 3.2056, 3.3520000000000003, 3.5636, 3.6953, 3.8004, 3.9149, 4.0413000000000014, 4.2102, 4.3450000000000015, 4.4534]","[1.879, 3.0117000000000003, 3.0211, 3.0692, 3.225, 3.355, 3.6209, 3.7273, 3.8401, 3.965, 4.0927, 4.2226, 4.3696]","[1.0751, 1.0769, 1.0813, 1.0879, 1.0911, 1.0991, 1.1043, 1.1153, 1.1226, 1.1462, 1.1700000000000002, 1.1924, 1.2135, 1.2349, 1.2361, 1.2363, 1.2377, 1.2397, 1.2399, 1.2403, 1.2405000000000002, 1.2644, 1.2677, 1.2835, 1.3067, 1.3096, 1.3266, 1.3323, 1.3326, 1.3329, 1.3472000000000002, 1.3524, 1.7455, 1.7858, 2.0736, 2.1682, 2.2777000000000003, 2.3852, 2.4991000000000003, 2.6146000000000003, 2.7374, 2.8718000000000004, 3.0427, 3.2909, 3.4222, 3.5947, 3.9584, 4.0692, 4.1659000000000015, 4.3011]","[1.0708, 1.0767, 1.0795, 1.0872, 1.0897, 1.0925, 1.1022, 1.1116, 1.1164, 1.1347, 1.1585, 1.1814, 1.2007, 1.2228, 1.2351, 1.2362, 1.2365000000000002, 1.2378, 1.2398, 1.2402, 1.2404000000000002, 1.2455, 1.2675, 1.2678, 1.2901, 1.3095, 1.3098, 1.3313, 1.3325, 1.3328, 1.3331000000000002, 1.3494000000000002, 1.3525, 1.7537, 2.0091, 2.1003000000000003, 2.2070000000000003, 2.3145, 2.4262, 2.5439000000000003, 2.6633, 2.7975000000000003, 2.9404000000000003, 3.069, 3.3625000000000003, 3.483, 3.613, 3.9599, 4.0889, 4.2288000000000014, 4.373]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
3,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,14.282812,18.635814,4.353002,2.8207,3.353,0.5323000000000002,3.0782000000000003,3.0860000000000003,0.00780000000000003,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.12860000000000002, 0.33899999999999997, 0.4386000000000001, 0.5851000000000001, 0.7258, 0.9215, 1.2234, 1.3522, 1.5683, 2.0755, 2.4037, 3.0081, 3.9609, 4.1389000000000005]","[0.032, 0.2089, 0.3549, 0.5093, 0.6506000000000001, 0.792, 0.9295, 1.2331, 1.4071, 1.6084, 2.0972, 2.4136, 3.0394, 4.0029, 4.17]","[0.2836, 0.3163, 0.7699, 0.8619, 1.0109, 1.1608, 1.6852, 1.7528, 1.8485, 2.0312, 2.1882, 2.3495, 2.9443, 2.9692000000000003, 3.0860000000000003, 3.2755, 3.3827000000000003, 3.5132000000000003, 3.6484, 3.7882, 3.9351, 3.9607, 4.1534, 4.2458, 4.2903]","[0.2932, 0.35900000000000004, 0.7913, 0.9365, 1.0956, 1.2397, 1.6941000000000002, 1.7713, 1.9318, 2.1018, 2.2533000000000003, 2.4209, 2.9573, 3.0458000000000003, 3.2068000000000003, 3.3105, 3.4339, 3.5677000000000003, 3.7101, 3.8491, 3.9423, 4.0044, 4.1698, 4.2655, 4.341]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
4,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,18.646212,23.131314,4.485102000000001,2.8182,3.4851,0.6669,3.0749,3.2189,0.14400000000000013,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.2765, 0.7787000000000001, 0.9644, 0.9818, 1.1772, 1.3419, 1.5052, 2.0257, 2.208, 2.4219, 2.7728, 3.2189, 3.3487, 3.4493, 3.576, 3.7166, 3.8592, 4.0468, 4.2361, 4.3453]","[0.3054, 0.8173, 0.9692, 1.0037, 1.1827, 1.3430000000000002, 1.525, 2.0613, 2.2586, 2.4376, 2.8063, 3.2689000000000004, 3.3769, 3.4997000000000003, 3.6317, 3.7739999999999996, 3.9318, 4.0899, 4.246, 4.4188]","[0.051, 0.2166, 0.3857, 0.5503, 0.7969, 1.0925, 1.1644, 1.27, 1.4523, 1.6296000000000002, 1.8023, 2.0469, 2.3349, 2.3995, 2.5076, 2.7631, 4.0102, 4.0363, 4.1741]","[0.1393, 0.30960000000000004, 0.4672, 0.6446000000000001, 0.8163, 1.0972, 1.1861000000000002, 1.3554000000000002, 1.5309, 1.7137, 1.8916, 2.0609, 2.346, 2.4431000000000003, 2.6143, 2.8110000000000004, 4.0207000000000015, 4.0923, 4.2538]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
5,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,23.145212,27.496014,4.350801999999998,2.8207,3.3508,0.5301,3.0782000000000003,3.0838,0.005599999999999827,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.2123, 2.176, 2.2868, 2.5097, 2.8092]","[0.0969, 0.2564, 2.2089000000000003, 2.3692, 2.5157000000000003, 2.863]","[0.1838, 0.3658, 2.174, 2.4323, 2.5845, 2.5913, 3.0838, 3.1342000000000003, 3.1662000000000003, 3.1975, 3.2263, 3.2684, 3.3005, 3.3327, 3.341, 3.3746, 3.4170000000000003]","[0.2602, 0.43700000000000006, 2.2091000000000003, 2.5243, 2.588, 2.68, 3.1308, 3.1615, 3.1918, 3.2242, 3.2649000000000004, 3.2963, 3.3286, 3.3354000000000004, 3.365, 3.3967, 3.4274]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
6,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,27.507612,32.137214,4.629601999999998,2.8182,3.6296,0.8113999999999999,3.0749,3.16,0.08510000000000018,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[1.3836000000000002, 1.5174, 2.3771, 2.5856000000000003, 2.7321, 2.8720000000000003, 3.3634, 3.4952, 3.6278, 3.74, 3.883, 4.0597, 4.3761, 4.5382]","[1.3999, 1.5219999999999998, 2.4276, 2.5923000000000003, 2.7435, 2.9157, 3.4187000000000003, 3.5359000000000003, 3.6634, 3.8032, 3.9439, 4.0869, 4.4071, 4.5889999999999995]","[1.3479, 1.4537, 1.4671, 1.5946, 1.7059, 1.8236, 1.9428, 2.0691, 2.2069, 2.5078, 2.557, 2.6159000000000003, 2.6544000000000003, 2.8234000000000004, 2.8645, 3.0, 3.16, 3.4011, 3.52, 4.0209, 4.1665, 4.3373, 4.5790000000000015]","[1.4047, 1.4641000000000002, 1.5427000000000002, 1.6443, 1.7528, 1.8717, 1.9996, 2.135, 2.2721, 2.5162, 2.5976, 2.6248, 2.7506, 2.8294, 2.9169, 3.0804, 3.2438, 3.4115, 3.5299, 4.0917, 4.2462, 4.4118, 4.5833]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
7,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,32.148412,37.390114,5.2417019999999965,2.8207,4.2417,1.0,3.0782000000000003,3.9747,0.8965000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.0345, 0.2686, 2.2718000000000003, 2.4102, 2.6343, 2.7867, 2.9215, 3.989, 4.0920000000000005, 4.7847]","[0.128, 0.29150000000000004, 2.3200000000000003, 2.4951000000000003, 2.6413, 2.7878000000000003, 2.9778, 4.0204, 4.1614, 4.808]","[0.2061, 0.2391, 0.3705, 2.2768, 2.5611, 2.5936, 2.6831, 2.9629000000000003, 3.9747, 3.9881, 4.2273000000000005, 4.3564, 4.4834000000000005, 4.6133000000000015, 4.7484, 4.9091000000000005, 5.0594, 5.237]","[0.2284, 0.2989, 0.4527000000000001, 2.3187, 2.5826, 2.6485000000000003, 2.7955, 2.9765, 3.9808, 4.0202, 4.2979, 4.4190000000000005, 4.543, 4.675, 4.8132, 4.9772, 5.1395]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
8,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,37.403912,41.834114,4.430202000000001,2.8182,3.4302,0.6120000000000001,3.0749,3.164,0.08910000000000018,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.0386, 0.1777, 0.3776, 0.6986, 2.371, 2.6041000000000003, 2.8032, 3.1639999999999997, 3.2787, 3.3937000000000004, 3.5639000000000003, 3.7188, 3.8757, 4.013999999999999, 4.1864, 4.3215, 4.3368]","[0.0556, 0.2217, 0.3886, 0.7253000000000001, 2.3783000000000003, 2.6572, 2.8146, 3.2124, 3.3266, 3.4538, 3.5833000000000004, 3.721, 3.8804, 4.0657000000000005, 4.2417, 4.3236, 4.3986]","[0.2929, 0.3277, 0.4437, 0.6936, 0.8404, 2.3240000000000003, 2.4404, 2.7259, 2.7612, 2.8884000000000003, 3.4322000000000004, 3.5245, 3.6584, 3.8131, 4.0342, 4.3827]","[0.0627, 0.3151, 0.3974, 0.555, 0.7278, 0.9268, 2.3852, 2.5067, 2.7475, 2.8239, 2.9992, 3.4532000000000003, 3.5881000000000003, 3.7324, 3.8896, 4.0658, 4.3974]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
9,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,41.847912,46.201614,4.353701999999998,2.8207,3.3537000000000003,0.5330000000000004,3.0782000000000003,3.0867,0.00849999999999973,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[2.0186, 2.255, 2.4834, 3.7703, 3.8824]","[2.0239000000000003, 2.3362000000000003, 2.4977, 3.8115, 3.9589999999999996]","[0.033100000000000004, 0.1963, 1.9612, 2.0769, 2.4195, 3.0867, 4.0144, 4.1454, 4.2635000000000005]","[0.1086, 0.275, 2.0323, 2.1703, 2.5065, 3.1241000000000003, 4.0968, 4.1956, 4.3089]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,419,36002,419,1.6.2,419_stage_training_v3_20220801-193344,2022-08-01,19:33:53.511679,19:50:24.146706,,
