Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0,,,,,0,0.346112,5.430514,5.084402,2.8182,4.0844000000000005,1.0,3.0749,4.0749,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[0.0371],[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
1,1,,0,0,1,0,,,,,0,5.451512,10.539214,5.087701999999998,2.8207,4.0877,1.0,3.0782000000000003,4.0782,0.9999999999999996,iaa,iaa,1,,0,0,1,1,70.0,,[0.9669],[0.9991],[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
2,0,,0,0,1,0,,,,,0,10.560012,15.644414,5.084401999999999,2.8182,4.0844000000000005,1.0,3.0749,4.0749,1.0000000000000004,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
3,1,,0,0,1,0,,,,,0,15.670212,20.757914000000003,5.087701999999999,2.8207,4.0877,1.0,3.0782000000000003,4.0782,0.9999999999999996,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
4,0,,1,0,0,0,1.0,,0.0,,1,20.775812,25.124814,4.349002000000001,2.8182,3.349,0.5307999999999997,3.0749,3.0828,0.00790000000000024,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.0828, 3.0955000000000004]","[3.0858000000000003, 3.1113]",[],[],10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
5,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,25.143412,29.492114,4.3487019999999985,2.8207,3.3487,0.528,3.0782000000000003,3.0817,0.003499999999999837,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[4.0932, 4.3147]",[4.1465000000000005],"[3.0817, 3.3064, 3.3391, 3.423, 3.5137, 3.6252, 3.7503, 3.8569999999999998, 3.9697]","[3.2903, 3.3128, 3.3461000000000003, 3.4343000000000004, 3.5529, 3.6806, 3.7854, 3.8957, 4.0091]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
6,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,29.509912,33.910714,4.400801999999999,2.8182,3.4008000000000003,0.5826000000000002,3.0749,3.1346000000000003,0.059700000000000315,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.0728, 0.1816, 0.6465000000000001, 0.7699, 1.2443, 1.88, 2.0015, 2.4037, 2.5881000000000003, 2.9893, 3.1346000000000003, 3.2745, 3.3844000000000003, 3.5169, 3.6663, 3.7695, 4.0742, 4.1688]","[0.1005, 0.2146, 0.6929000000000001, 0.8136, 1.3041, 1.9299, 2.0692, 2.4632, 2.6307, 3.0519000000000003, 3.1994, 3.3141000000000003, 3.443, 3.5767, 3.6963, 3.8311, 4.093999999999999, 4.2337]","[0.2983, 0.4135, 0.5223, 0.8907, 1.0025, 1.1138, 1.4, 1.5032, 1.6294000000000002, 1.7515, 2.1477, 2.2657000000000003, 2.7211000000000003, 2.8542, 3.9117, 3.9244, 4.0439, 4.3193]","[0.32680000000000003, 0.4404, 0.5668000000000001, 0.9295, 1.0438, 1.1706, 1.4329, 1.5587, 1.6808, 1.8047, 2.1966, 2.3289, 2.7758000000000003, 2.9090000000000003, 3.9188, 3.9615, 4.0937, 4.3682]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
7,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,33.931712,38.364614,4.432902000000006,2.8207,3.4329,0.6122000000000001,3.0782000000000003,3.1659,0.08769999999999989,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.0614, 0.1653, 0.7261000000000001, 1.2075, 1.3625, 1.6872, 1.8494, 2.1228, 2.2761, 2.2928, 2.7105, 2.7239999999999998, 3.7685, 3.7839, 4.0799, 4.1816, 4.2003]","[0.08650000000000001, 0.2216, 0.794, 1.2447, 1.4005, 1.7171, 1.8962, 2.1766, 2.2797, 2.3284, 2.7207000000000003, 2.7699000000000003, 3.7739, 3.8244, 4.1006, 4.1923, 4.2575]","[0.0369, 0.3204, 0.4389, 0.5780000000000001, 0.9109, 1.037, 1.4942, 1.9839, 2.3087, 2.4157, 2.5746, 2.9092, 3.0265, 3.1659, 3.2948, 3.403, 3.5228, 3.6487, 3.8172, 3.908, 4.0445, 4.2439, 4.3507]","[0.0853, 0.3608, 0.4962, 0.6389, 0.9506, 1.0935, 1.5517, 2.0394, 2.3295, 2.4730000000000003, 2.6191, 2.9343000000000004, 3.0965000000000003, 3.2244, 3.3355, 3.4508, 3.572, 3.6942, 3.8223, 3.9615, 4.1009, 4.2589999999999995, 4.4033]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
8,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,38.384112,42.734914,4.350802000000002,2.8182,3.3508,0.5326,3.0749,3.0846,0.009700000000000042,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.1758, 0.3249, 0.9326, 1.0716, 1.5052, 1.6386, 2.5295, 2.8879, 3.0846, 3.0996, 3.3529, 3.4882, 3.5989999999999998, 3.7171, 3.8545, 4.0306000000000015, 4.1204, 4.251]","[0.2393, 0.3817, 0.9505, 1.1197, 1.5617, 1.6994, 2.5997000000000003, 2.9298, 3.089, 3.1108, 3.4123, 3.5218000000000003, 3.645, 3.7757, 3.9039, 4.042, 4.1749, 4.3020000000000005]","[0.0341, 0.4896, 0.6322, 0.7538, 0.8982, 0.947, 1.2157, 1.3714000000000002, 1.8107, 1.9787, 2.2726, 2.3973, 2.7063, 3.0488, 3.2086, 4.0067]","[0.0928, 0.5272, 0.675, 0.8081, 0.9122, 0.9487, 1.2731, 1.4259000000000002, 1.858, 2.0291, 2.3182, 2.454, 2.7614, 3.0937, 3.2636000000000003, 4.0435]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
9,1,0.0,1,0,0,1,0.0,1.0,1.0,0.0,1,42.760812,47.32271400000001,4.5619019999999955,2.8207,3.5619,0.7412000000000001,3.0782000000000003,3.1276,0.04939999999999989,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.1565, 0.2898, 0.601, 0.7110000000000001, 0.7266, 1.0572, 1.2104, 1.3516, 1.6669999999999998, 1.6819000000000002, 1.8185, 2.2241, 2.5162, 3.0264, 3.1276, 3.272, 3.9336, 4.0888]","[0.2082, 0.34290000000000004, 0.6227, 0.7136, 0.7681, 1.0726, 1.2426, 1.4078000000000002, 1.6714, 1.7251, 1.8807, 2.2390000000000003, 2.6084, 3.0345, 3.1865, 3.3307, 3.9989, 4.157]","[0.0118, 0.444, 0.5741, 0.7503000000000001, 0.866, 1.0182, 1.4946000000000002, 1.9837, 2.1904, 2.3582, 2.7841, 2.9981, 3.2949, 3.4384, 3.5644, 3.682, 3.8064, 4.2737]","[0.0626, 0.4796, 0.6234000000000001, 0.7681, 0.9205, 1.0759999999999998, 1.5533, 2.0454, 2.2412, 2.4279, 2.8225, 3.0386, 3.3351, 3.4981, 3.6147, 3.7344, 3.8596, 4.3096000000000005]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM33,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod3,625,36002,625,1.6.2,625_stage_training_v3_20220801-190457,2022-08-01,19:05:07.081547,19:23:46.049828
