Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ValveLeft,ValveRight
0,0,,0,0,1,0,,,,,0,0.365111,5.450913,5.085801999999998,2.8182,4.0858,1.0,3.0763000000000003,4.0763,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.9237, 1.3668, 1.7612, 2.3132, 2.7731000000000003]","[0.9297, 1.3701, 1.7776, 2.3495, 2.8138]","[0.8922, 1.0574, 1.3284, 1.51, 1.755, 2.0453, 2.5402]","[0.9341, 1.1443, 1.3746, 1.5823, 1.7773, 2.0636, 2.5899]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
1,1,,0,0,1,0,,,,,0,5.4692110000000005,10.557513,5.0883020000000005,2.8207,4.0883,1.0,3.0788,4.0788,1.0,iaa,iaa,1,,0,0,1,1,70.0,,"[0.8045, 0.9151, 1.0161, 1.1271, 1.3612, 1.4980000000000002, 1.9704, 2.3072, 2.4518]","[0.8265, 0.9348, 1.0442, 1.1562, 1.4014, 1.5344, 2.0056000000000003, 2.3342, 2.4839]","[0.3546, 0.5630000000000001, 1.6396000000000002, 1.8326, 2.1211, 2.3292, 2.6479, 4.6155, 4.7424, 4.8491, 4.8587, 5.0296]","[0.4388, 0.636, 1.6875, 1.8553, 2.1751, 2.3315, 2.6790000000000003, 4.6702, 4.7762, 4.856, 4.9036, 5.0342]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
2,0,,0,0,1,0,,,,,0,10.599011,15.684813,5.085801999999998,2.8182,4.0858,1.0,3.0763000000000003,4.0763,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.0255, 0.4947, 0.6197, 1.3534000000000002, 1.8244, 1.9714]","[0.0514, 0.5131, 0.6675, 1.3872, 1.825, 2.0133]","[0.17600000000000002, 0.30660000000000004, 0.5053, 0.8327, 0.9903, 0.9993, 1.1784, 1.5216, 1.8198]","[0.2179, 0.3615, 0.5112, 0.8768, 0.9921, 1.0586, 1.2311, 1.5822, 1.8305]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
3,1,,0,0,1,0,,,,,0,15.696611,20.784913,5.088301999999999,2.8207,4.0883,1.0,3.0788,4.0788,1.0,iaa,iaa,1,,0,0,1,1,70.0,,"[2.1499, 2.2376, 2.3544, 2.6462000000000003, 2.7611000000000003]","[2.1612, 2.2652, 2.3927, 2.6779, 2.8245]","[1.9637, 2.4965]","[2.0212, 2.5316]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
4,0,,1,0,0,0,1.0,,0.0,,1,20.811211,25.979913,5.168702,2.8182,4.1687,1.0,3.0763000000000003,3.9011,0.8247999999999998,aaa,aaa,1,,0,1,0,1,-70.0,,"[1.3391, 1.4745, 1.6068, 2.7278, 3.9011]","[1.3612, 1.5079, 1.6505, 2.7654, 3.9235]","[0.9352, 0.9518, 1.0838, 1.1931, 1.3561, 2.5388, 3.9069]","[0.9389, 0.9969, 1.1179999999999999, 1.2378, 1.3627, 2.5833, 3.9237]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
5,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,26.005011,30.706913,4.7019020000000005,2.8207,3.7019,0.8812000000000002,3.0788,3.4343000000000004,0.3555000000000001,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[0.2283, 0.3558, 0.4924, 1.9121, 4.0429, 4.1697000000000015, 4.6369]","[0.2619, 0.3893, 0.5274, 1.9429, 4.0665, 4.1952, 4.6701000000000015]","[0.0624, 1.681, 1.6916, 3.4343000000000004, 3.5545, 3.6612, 3.7867, 3.9182, 4.3135, 4.5089999999999995]","[0.1008, 1.6827, 1.7361, 3.4891, 3.5879000000000003, 3.7011, 3.8165, 3.9408, 4.3516, 4.5258]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
6,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,30.738211,36.472813,5.734602000000002,2.8182,4.7346,1.0,3.0763000000000003,4.0571,0.9808,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[1.3057, 1.8644, 2.0131, 4.4670000000000005, 4.6044, 4.7306, 5.1252, 5.2490000000000006, 5.4007000000000005]","[1.3324, 1.8936, 2.0752, 4.4965, 4.6248000000000005, 4.7360000000000015, 5.1562, 5.2853, 5.4376000000000015]","[0.9908, 1.1254, 1.3266, 1.634, 1.8736, 4.0571, 4.2603, 4.8267000000000015, 4.9693000000000005]","[1.034, 1.1804, 1.3307, 1.6834, 1.8937, 4.1067, 4.3046000000000015, 4.8674, 5.0165000000000015]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
7,1,0.0,1,0,0,0,1.0,0.0,1.0,0.0,1,36.583111,41.073913,4.490801999999995,2.8207,3.4908,0.6701000000000001,3.0788,3.2232000000000003,0.14440000000000008,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[1.948, 3.637, 3.7534]","[1.9877, 3.6584, 3.7954]","[1.789, 2.8401, 3.2232000000000003, 3.3538, 3.4829000000000003]","[1.8231, 2.9003, 3.2773000000000003, 3.3993, 3.5268]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
8,0,0.0,1,0,0,0,1.0,1.0,0.0,0.0,1,41.154811,45.520213,4.365401999999996,2.8182,3.3654,0.5472000000000001,3.0763000000000003,3.0978000000000003,0.021500000000000075,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[0.6283000000000001, 3.0978000000000003, 3.2296, 3.2312000000000003, 3.3604000000000003, 3.4734000000000003, 3.6029, 3.8568, 3.9825]","[0.6353, 3.1299, 3.2311, 3.2778, 3.3880000000000003, 3.5037000000000003, 3.6243, 3.888, 4.0164]","[2.8834, 3.1155, 3.7208]","[2.9294, 3.1289, 3.7452]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
9,1,0.0,0,0,1,0,,1.0,,,0,45.549711,50.638013,5.088301999999999,2.8207,4.0883,1.0,3.0788,4.0788,1.0,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[1.0754, 1.2039, 1.5248000000000002, 1.6791, 2.8532]","[1.1012, 1.2462, 1.5727, 1.7262000000000002, 2.9019]","[1.376, 2.6879]","[1.4044, 2.7215000000000003]",10,1.0,0.0,0.0,1,0,1,0,0,1,1,1,0,0.0,0.5,/dev/ttyACM35,stage_training_v3,Alexis,pv_nmdar_eranet,2AFC_3,Bpod5,617,36010,617,1.6.2,617_stage_training_v3_20220801-122837,2022-08-01,12:28:46.383391,12:45:26.319048,,
