Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ILDRep,P,RespWin,ITI,WarmUp,RecoveryMode
0,1,,0,0,1,0.0,,,,,0,0.340211,5.546713,5.206502,2.9387000000000003,4.2065,1.2677999999999998,3.197,4.197,1.0,iaa,iaa,1,,0,0,1,1,70.0,[],[0.029300000000000007],"[0.2067, 4.8137, 4.9327000000000005, 5.0622, 5.1925]","[0.2406, 4.8433, 4.9752, 5.1024]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
1,0,,1,0,0,0.0,1.0,,0.0,,1,5.558611,10.851713,5.293101999999998,2.8182,4.2931,1.4749,3.077,4.0248,0.9478,aaa,aaa,1,,0,1,0,1,-70.0,"[0.9409, 1.1101, 1.9183, 2.0723000000000003, 4.0248, 4.1243, 4.2451, 4.3597, 4.4873, 4.6187000000000005]","[0.9453, 1.1167, 1.9262, 2.1188, 4.0413000000000014, 4.1478, 4.2683, 4.3913, 4.529, 4.6621000000000015]","[0.1035, 0.256, 0.3956, 0.5416000000000001, 1.2318, 1.5157, 1.7149, 2.2350000000000003, 4.9182000000000015, 5.1157]","[0.0154, 0.1473, 0.2901, 0.4429, 0.597, 1.2765, 1.5653, 1.7525000000000002, 2.2802, 4.9587, 5.1214]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
2,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,10.862311,15.326713,4.464402,2.8207,3.4644000000000004,0.6437000000000004,3.079,3.1966,0.11759999999999993,iaa,iaa,1,,0,0,1,1,70.0,"[0.0086, 0.5081, 2.7726, 2.9132, 3.7464, 3.8946, 4.0844000000000005, 4.3951]","[0.0203, 0.5563, 2.7969, 2.9515, 3.7566, 3.9284, 4.0865, 4.4096]","[0.14700000000000002, 0.7303000000000001, 3.0744, 3.1966, 3.3182, 3.4307000000000003, 3.5742000000000003, 4.1979000000000015]","[0.1792, 0.7496, 3.1057, 3.23, 3.3525, 3.4823, 3.6189, 4.2405]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
3,0,0.0,1,0,0,1.0,0.0,1.0,0.0,0.0,1,15.337910999999998,19.941113,4.603202000000001,2.8182,3.6032,0.7850000000000001,3.077,3.1698,0.0928,aaa,aaa,1,,0,1,0,1,-70.0,"[0.2051, 2.8665000000000003, 2.9933, 3.3349, 3.4989000000000003, 3.617, 3.7511, 4.3546000000000005, 4.4882]","[0.2681, 2.8884000000000003, 3.0499, 3.3815, 3.5216000000000003, 3.6676, 3.8072, 4.3942000000000005, 4.5584]","[0.39799999999999996, 3.1698, 4.0627, 4.1716000000000015]","[0.442, 3.2063, 4.0879, 4.227]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
4,0,1.0,1,0,0,1.0,0.0,0.0,0.0,1.0,1,19.952211,24.743013,4.790802000000003,2.8182,3.7908,0.9726,3.077,3.2221,0.14510000000000026,aaa,aaa,1,,0,1,0,1,-70.0,"[2.0417, 2.1641, 2.5267, 3.5225, 3.656, 3.8294, 3.9605, 4.5068]","[2.0642, 2.2146, 2.5486, 3.5357000000000003, 3.7098, 3.8716, 4.0234000000000005, 4.5489999999999995]","[0.0728, 2.3393, 3.2221, 4.3337, 4.7227000000000015]","[0.1019, 2.3752, 3.2724, 4.3599000000000006, 4.7479000000000005]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
5,0,1.0,1,0,0,1.0,0.0,0.0,0.0,1.0,1,24.760911,29.626313,4.865402,2.8182,3.8654,1.0472,3.077,3.1944000000000004,0.1174000000000004,aaa,aaa,1,,0,1,0,1,-70.0,"[2.6533, 3.0337, 3.5971, 3.7352, 3.8523, 3.9802, 4.5968, 4.7533]","[2.6719, 3.0445, 3.6454, 3.768, 3.8989999999999996, 4.0309, 4.6496, 4.8174]","[2.8317, 3.1944000000000004, 4.306, 4.436]","[2.8324000000000003, 3.234, 4.3295, 4.4676]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
6,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,29.641911,34.171513,4.529601999999997,2.8207,3.5296000000000003,0.7089000000000003,3.079,3.2618,0.18279999999999985,iaa,iaa,1,,0,0,1,1,70.0,"[2.6264000000000003, 2.7416, 3.654]","[2.6498, 2.7974, 3.6881]","[0.0772, 2.9503, 3.2618, 3.5407, 3.8149, 3.9368, 4.0602, 4.2059000000000015, 4.3272, 4.4693000000000005]","[0.1184, 2.9773, 3.3082000000000003, 3.5432, 3.8506, 3.9712, 4.1011000000000015, 4.2378, 4.3705, 4.513999999999999]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
7,1,1.0,1,0,0,1.0,0.0,1.0,1.0,1.0,1,34.191911,38.716413,4.5245020000000045,2.8207,3.5245,0.7038000000000002,3.079,3.1024000000000003,0.023400000000000087,iaa,iaa,1,,0,0,1,1,70.0,"[0.1059, 0.405, 0.6176, 0.9659, 3.1024000000000003]","[0.123, 0.4443, 0.6237, 1.0048, 3.1536]","[0.7713, 3.2567000000000004, 3.2647, 3.3922000000000003, 3.5191000000000003, 3.6605, 3.7966, 3.9528]","[0.8078000000000001, 3.2602, 3.3102, 3.4262, 3.5578000000000003, 3.7032, 3.8483, 4.0018]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
8,1,1.0,1,0,0,0.0,1.0,0.0,1.0,1.0,1,38.726711,43.187913,4.461202,2.8207,3.4612000000000003,0.6405000000000003,3.079,3.1934,0.11439999999999985,iaa,iaa,1,,0,0,1,1,70.0,"[0.2272, 2.9111, 3.0507, 3.9361, 4.0805]","[0.2664, 2.9359, 3.0976000000000004, 3.9603, 4.1295]","[0.43700000000000006, 0.5569000000000001, 3.1934, 3.3311, 3.4782, 3.6118, 3.7471, 4.2656]","[0.4514, 0.6214000000000001, 3.2495000000000003, 3.3708, 3.5151000000000003, 3.6583, 3.8012, 4.3006]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
9,1,1.0,1,0,0,1.0,0.0,1.0,1.0,1.0,1,43.199111,47.986013,4.786901999999998,2.8207,3.7869,0.9662000000000002,3.079,3.1856,0.1065999999999998,iaa,iaa,1,,0,0,1,1,70.0,"[3.1856, 3.3586]","[3.233, 3.4273]","[2.9055, 3.0019, 3.5191000000000003, 3.6479, 3.7768, 3.9005, 4.0405, 4.2072, 4.3393000000000015, 4.4621]","[2.9224, 3.0565, 3.5687, 3.6701, 3.8053, 3.9398, 4.0812, 4.224, 4.3739, 4.5186]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,333,36010,333,1.6.2,333_stage_training_v2_20220117-122808,2022-01-17,12:28:17.239394,13:14:33.512566,,,,,,
