Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0.0,,,,,0,0.34581100000000004,5.550313,5.204502,2.9362,4.2045,1.2683000000000004,3.1950000000000003,4.195,1.0,aaa,aaa,1,,0,1,0,1,-70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
1,1,,0,0,1,0.0,,,,,0,5.560911,10.649413,5.088501999999999,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.469, 0.4767, 0.6077, 0.7334, 0.8776, 1.3023, 1.4365, 1.9962, 2.1465, 2.6567000000000003, 2.7981000000000003, 2.9168000000000003, 3.0717000000000003, 4.5977000000000015, 4.7319, 5.0152]","[0.4739, 0.5051, 0.6261, 0.7377, 0.9045, 1.3247, 1.455, 2.0066, 2.1532, 2.6683000000000003, 2.8124, 2.932, 3.085, 4.6059, 4.7343, 5.0193]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
2,1,,0,0,0,1.0,0.0,,0.0,,1,10.659611,15.886413,5.226801999999998,2.8207,4.2268,1.4061,3.079,3.2173000000000003,0.1383000000000001,iaa,iaa,1,,0,0,1,1,70.0,"[0.5669000000000001, 0.7329, 1.1636, 1.3121, 1.7114, 1.8675, 1.8732, 2.3438000000000003, 2.4972000000000003, 2.6315, 2.7731000000000003, 2.9249, 3.2173000000000003, 4.7011, 4.859]","[0.5686, 0.7371000000000001, 1.1715, 1.3159, 1.7280000000000002, 1.8708, 1.8826, 2.349, 2.5224, 2.6714, 2.8025, 2.9312, 3.2368, 4.7081, 4.8627]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
3,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1,15.896610999999998,21.944013,6.047402000000003,2.8207,5.0474000000000006,2.226700000000001,3.079,4.0379000000000005,0.9589000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.2592, 0.5598000000000001, 0.6953, 1.1388, 2.198, 2.339, 2.7865, 4.0379000000000005, 4.4871, 4.628, 4.7703000000000015, 4.9336, 5.5896, 5.7438]","[0.26530000000000004, 0.5690000000000001, 0.7099000000000001, 1.1493, 2.2013000000000003, 2.3423000000000003, 2.8056, 4.0435, 4.5229, 4.6567, 4.8098, 4.9731000000000005, 5.5961, 5.7514]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
4,1,0.0,0,0,0,1.0,0.0,0.0,0.0,1.0,1,21.954311,27.154913,5.200602,2.8207,4.2006000000000006,1.3799000000000006,3.079,3.1911,0.11209999999999988,iaa,iaa,1,,0,0,1,1,70.0,"[0.1144, 1.6129, 1.7666000000000002, 2.4731, 2.4770000000000003, 2.5754, 2.7451000000000003, 3.1911, 4.8114, 5.1421]","[0.1296, 1.624, 1.7719999999999998, 2.475, 2.4829000000000003, 2.6220000000000003, 2.7528, 3.2035, 4.8314, 5.1502]",[2.0379],[2.0577],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
5,0,1.0,0,0,1,0.0,,0.0,,,0,27.165411,32.251913,5.086502000000003,2.8182,4.0865,1.2683,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[0.447, 0.5421, 0.7182000000000001, 1.1687, 2.7231, 2.8509, 2.8876, 4.5353, 4.6529, 4.7624, 4.8805000000000005, 5.0126]","[0.4534, 0.5890000000000001, 0.7294, 1.1814, 2.7470000000000003, 2.8849, 2.8891, 4.5567, 4.6692, 4.7893, 4.9056000000000015, 5.033]",[0.0733],[0.0941],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
6,1,,0,0,1,0.0,,,,,0,32.263211,37.351713,5.088501999999998,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.2082, 0.3877, 2.0633, 2.0789, 2.2266, 4.2730000000000015, 4.3981, 4.4173]","[0.2341, 0.3984, 2.0734, 2.0819, 2.2331000000000003, 4.2803, 4.4064000000000005, 4.4239000000000015]",[4.7045],[4.7182],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
7,1,,0,0,1,0.0,,,,,0,37.362311,42.450813,5.088501999999998,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.29450000000000004, 0.30110000000000003, 0.4175, 0.8543000000000001, 1.6233000000000002, 4.1336, 4.8658]","[0.2973, 0.3017, 0.4461, 0.8633000000000001, 1.6384, 4.1524, 4.8762]",[4.4192],[4.4302],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
8,1,,0,0,1,0.0,,,,,0,42.461011,47.549513,5.088501999999998,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[4.6724000000000006, 4.8449]","[4.6846000000000005, 4.8492000000000015]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
9,1,,0,0,0,1.0,0.0,,0.0,,1,47.559611,52.821213,5.2616020000000026,2.8207,4.2616000000000005,1.4409000000000003,3.079,3.2521,0.1730999999999998,iaa,iaa,1,,0,0,1,1,70.0,"[0.07730000000000001, 0.3519, 0.4857, 0.5155000000000001, 3.2521, 3.2735000000000003]","[0.08199999999999999, 0.3534, 0.5106, 0.5182, 3.2609000000000004, 3.2785]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
10,1,0.0,0,0,1,0.0,,0.0,,,0,52.832111,57.920613,5.0885020000000045,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[4.5804],[4.6224],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
11,0,,0,0,1,0.0,,,,,0,57.930611,63.017113,5.086502000000003,2.8182,4.0865,1.2683,3.077,4.077,1.0,aaa,aaa,1,,0,1,0,1,-70.0,"[4.5024000000000015, 4.7529, 4.7578000000000005, 4.8733, 5.0134]","[4.5279, 4.7543000000000015, 4.7651, 4.8934000000000015, 5.0298]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
12,1,,0,0,0,1.0,0.0,,0.0,,1,63.028011,68.143713,5.115702000000006,2.8207,4.1157,1.2950000000000004,3.079,3.1062000000000003,0.02720000000000012,iaa,iaa,1,,0,0,1,1,70.0,"[0.0442, 0.1604, 0.5891000000000001, 0.7150000000000001, 1.2173, 1.4199000000000002, 2.963, 3.1062000000000003, 4.591]","[0.06910000000000001, 0.1925, 0.6038, 0.7523000000000001, 1.2343, 1.4308, 2.972, 3.1141, 4.6205]","[1.5530000000000002, 1.5676]","[1.5549000000000002, 1.5758]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
13,0,1.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1,68.153711,73.197513,5.043802,2.8182,4.0438,1.2256,3.077,3.7755,0.6985000000000001,aaa,aaa,1,,0,1,0,1,-70.0,"[1.4574, 1.8822, 3.7755, 3.9925, 4.1993, 4.3247, 4.4387, 4.5694, 4.6959]","[1.4697, 1.8951, 3.8013, 4.0019, 4.2249, 4.3474, 4.4692, 4.5885, 4.7093]","[0.8799, 0.8925000000000001]","[0.8834000000000001, 0.9069]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
14,1,0.0,1,0,0,1.0,0.0,1.0,1.0,0.0,1,73.208511,77.742813,4.534301999999997,2.8207,3.5343,0.7136,3.079,3.0898000000000003,0.010800000000000145,iaa,iaa,1,,0,0,1,1,70.0,"[0.0335, 0.1504, 0.2781, 0.8236, 0.9323, 1.1001, 1.5554, 1.8199, 1.9388, 2.0773, 2.5714, 2.7212, 2.9734000000000003, 3.0898000000000003, 3.7367, 3.872, 4.0235]","[0.0423, 0.1748, 0.30960000000000004, 0.8283, 0.9697, 1.1059, 1.5577, 1.8345, 1.9681, 2.1038, 2.5862000000000003, 2.7272000000000003, 2.9935, 3.1292, 3.7461, 3.8819999999999997, 4.0256]","[2.2304, 3.2665, 4.1421, 4.1522000000000014]","[2.2437, 3.2808, 4.1446000000000005, 4.1644000000000005]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
15,0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,1,77.753311,82.104913,4.351602,2.8182,3.3516000000000004,0.5334000000000003,3.077,3.0833,0.006299999999999972,aaa,aaa,1,,0,1,0,1,-70.0,"[0.3797, 0.5299, 1.0966, 1.2139, 1.3682, 1.8194, 1.976, 2.9595, 3.0833, 3.3026, 3.6414, 3.7569, 3.8786, 4.027, 4.2751]","[0.3901, 0.5489, 1.1145, 1.2595, 1.3855000000000002, 1.8386, 1.9883, 2.9883, 3.1239999999999997, 3.3226, 3.6589, 3.7706, 3.9047, 4.0271, 4.2938]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
16,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,82.115211,86.577813,4.462602000000004,2.8182,3.4626,0.6444000000000001,3.077,3.1943,0.11730000000000018,aaa,aaa,1,,0,1,0,1,-70.0,"[0.0395, 0.16690000000000002, 0.2908, 0.4432, 0.7373000000000001, 1.1, 1.2197, 1.3846, 1.5256, 1.6864, 2.0177, 2.0229, 2.1710000000000003, 2.6214, 2.7752000000000003, 2.7852, 3.1943, 3.4305000000000003, 3.5657, 3.6974, 3.8173, 3.9605, 4.3768]","[0.0631, 0.1932, 0.32080000000000003, 0.4544, 0.7454000000000001, 1.1173, 1.2515, 1.3934, 1.5478, 1.6892, 2.0194, 2.0256000000000003, 2.174, 2.631, 2.7828, 2.7897000000000003, 3.2283, 3.4622, 3.5860000000000003, 3.719, 3.844, 3.9778, 4.3869]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
17,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,86.587911,91.346313,4.758401999999991,2.8182,3.7584,0.9402,3.077,3.4901,0.4131,aaa,aaa,1,,0,1,0,1,-70.0,"[0.1731, 0.29550000000000004, 0.4253, 0.5612, 0.6819000000000001, 1.3001, 1.7741, 1.9037, 1.9258, 2.0541, 2.2111, 2.6558, 3.4901, 3.7062, 3.8144, 3.9139999999999997, 4.0375000000000005, 4.1497, 4.2688000000000015, 4.6747000000000005]","[0.182, 0.3279, 0.4499, 0.5824, 0.7107, 1.3097, 1.7918, 1.9208, 1.9295, 2.0907, 2.2344, 2.6593, 3.5129, 3.7185, 3.825, 3.9369, 4.0525, 4.1718, 4.2998, 4.6975]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
18,1,0.0,0,0,1,0.0,,1.0,,,0,91.357111,96.445613,5.088501999999991,2.8207,4.0885,1.2677999999999998,3.079,4.0790000000000015,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.0316, 0.1694, 0.4622, 0.6155, 1.0723, 1.2068, 1.3465, 2.4508, 2.5568, 2.8419000000000003, 2.9796, 4.2892, 4.9775]","[0.0541, 0.17750000000000002, 0.4719, 0.62, 1.0905, 1.2318, 1.3706, 2.4532000000000003, 2.5984000000000003, 2.8674, 3.0183, 4.3091, 5.0076]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
19,1,,0,0,0,1.0,0.0,,0.0,,1,96.455911,101.717813,5.261902000000006,2.8207,4.2619,1.4411999999999998,3.079,3.2524,0.1734,iaa,iaa,1,,0,0,1,1,70.0,"[0.17370000000000002, 0.32070000000000004, 0.4944, 0.6483, 1.0235, 1.1703, 1.8045, 1.928, 2.0819, 2.8981000000000003, 3.0506, 3.2524, 3.3789999999999996, 3.5961000000000003, 3.7619, 3.9529, 4.2502, 4.8368, 4.9877, 5.2077]","[0.0435, 0.2087, 0.3423, 0.5271, 0.669, 1.0326, 1.1833, 1.8342, 1.9694, 2.1216, 2.92, 3.0733, 3.2577000000000003, 3.4099000000000004, 3.6187, 3.786, 3.9627, 4.2862, 4.8577, 5.0201, 5.2354]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
20,0,1.0,1,0,0,1.0,0.0,0.0,0.0,1.0,1,101.728211,106.642713,4.914501999999999,2.8182,3.9145,1.0962999999999998,3.0682,3.2225,0.1543000000000001,aaa,aaa,1,,0,1,0,1,-70.0,"[0.29410000000000003, 0.5015000000000001, 2.4951000000000003, 2.6329, 2.8787000000000003, 3.0613, 3.6462, 3.7538, 3.8618, 3.9689, 4.0755, 4.7626, 4.8653]","[0.3355, 0.5104000000000001, 2.5156, 2.6669, 2.9051, 3.0966, 3.6592, 3.77, 3.8817, 3.9937, 4.1063, 4.7721, 4.8937]","[3.2225, 3.2436000000000003, 3.2592000000000003, 4.2033000000000005, 4.4244]","[3.2319, 3.2590000000000003, 3.2652, 4.226, 4.4424]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
21,1,0.0,1,0,0,1.0,0.0,0.0,1.0,0.0,1,106.652811,111.765613,5.112802000000002,2.8207,4.1128,1.2921,3.0707,3.6821,0.6114000000000002,iaa,iaa,1,,0,0,1,1,70.0,"[0.5847, 0.7143, 1.0721, 1.2023, 1.8226, 2.2262, 2.3548, 2.8324000000000003, 3.6821, 4.2792, 4.4094000000000015, 4.7676]","[0.5952000000000001, 0.7212000000000001, 1.0829, 1.2098, 1.849, 2.2439, 2.3894, 2.8417000000000003, 3.7096, 4.2969, 4.4202, 4.78]","[0.1982, 0.3215, 0.444, 0.8282, 0.9349, 1.3235, 1.4323, 1.5542, 1.945, 2.0681000000000003, 2.4929, 2.62, 2.9616, 3.845, 3.9569, 4.0386000000000015, 4.1602000000000015, 4.5036000000000005, 4.6186, 4.7686, 4.8877000000000015, 5.0029]","[0.2298, 0.35100000000000003, 0.46799999999999997, 0.8512000000000001, 0.961, 1.345, 1.4603000000000002, 1.5863, 1.9794, 2.1027, 2.5342, 2.6587, 2.9974000000000003, 3.8817, 3.9695, 4.0658, 4.1732000000000005, 4.5411, 4.6558, 4.7735, 4.917, 5.0363000000000016]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
22,0,0.0,1,0,0,0.0,1.0,0.0,0.0,0.0,1,111.77661100000002,116.84851299999998,5.071901999999994,2.8182,4.0719,1.2537000000000005,3.0682,3.8036,0.7354000000000003,aaa,aaa,1,,0,1,0,1,-70.0,"[0.162, 0.7855000000000001, 1.5719, 1.7297, 2.9157, 3.8036, 3.9976, 4.381, 4.8713000000000015, 4.9895000000000005]","[0.1816, 0.8182, 1.5924, 1.7534, 2.9268, 3.8402, 4.0186, 4.3888, 4.8893, 5.0035]","[0.0045000000000000005, 0.5349, 1.4093, 1.8523, 2.0318, 4.2266, 4.4932, 4.5972, 4.7183]","[0.0485, 0.5732, 1.4552, 1.8926, 2.0547, 4.2522, 4.5211000000000015, 4.6385000000000005, 4.7631000000000006]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
23,0,1.0,1,0,0,1.0,0.0,1.0,0.0,1.0,1,116.85961100000002,121.32331299999998,4.463701999999998,2.8182,3.4637,0.6454999999999997,3.0682,3.0782000000000003,0.010000000000000231,aaa,aaa,1,,0,1,0,1,-70.0,"[0.0059, 0.4225, 0.5442, 0.9882, 1.1058, 1.7399, 3.1954, 3.3211, 3.4436, 3.5716, 3.6708, 4.0696]","[0.047, 0.4436, 0.5757, 1.0067000000000002, 1.155, 1.7645000000000002, 3.2263, 3.3431, 3.4603, 3.5827, 3.7049, 4.0855000000000015]","[0.1351, 0.2666, 0.6848000000000001, 0.8057000000000001, 1.2679, 1.4184, 1.5650000000000002, 1.9297, 3.0782000000000003, 3.7906, 3.9037, 4.4312000000000005]","[0.1764, 0.30910000000000004, 0.6900000000000001, 0.8468, 1.314, 1.4597, 1.6063, 1.9722, 3.0833, 3.8264, 3.9433]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM35,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod5,325,36010,325,1.6.2,325_stage_training_v2_20220117-104159,2022-01-17,10:42:08.335106,11:13:09.546902
