Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,1,,0,0,1,0.0,,,,,0,0.33483,5.5410330000000005,5.206203,2.9387000000000003,4.2062,1.2674999999999996,3.1967000000000003,4.1967,0.9999999999999996,iaa,iaa,1,,0,0,1,1,70.0,"[0.3923, 0.4111, 0.5755, 2.3677, 2.5472]","[0.4013000000000001, 0.4378, 0.6068, 2.3871, 2.5739]","[0.2646, 1.3461, 2.2003]","[0.2773, 1.4557, 2.2104]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
1,0,,0,0,1,0.0,,,,,0,5.5518300000000025,10.636833,5.085003,2.8182,4.085,1.2668,3.0755000000000003,4.0755,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,"[2.5059, 2.6161000000000003]","[2.5082, 2.6635]","[1.7779, 2.1915, 4.863]","[1.8516, 2.3077, 4.9487000000000005]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
2,0,,0,0,1,0.0,,,,,0,10.64623,15.731233,5.0850029999999995,2.8182,4.085,1.2668,3.0755000000000003,4.0755,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,[0.2026],[0.2049],"[0.0222, 2.674, 4.5107, 4.6996, 4.8210000000000015]","[0.0263, 2.7494, 4.5605, 4.7524000000000015, 4.8751000000000015]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
3,0,,1,0,0,0.0,1.0,,0.0,,1,15.743329999999998,20.990833,5.247502999999998,2.8182,4.2475000000000005,1.4293000000000005,3.0755000000000003,3.9807,0.9051999999999998,aaa,aaa,1,,0,1,0,1,-70.0,"[0.0616, 0.1222, 0.2313, 0.3668, 0.4982, 0.6304000000000001, 0.7803, 1.4462000000000002, 1.6061, 1.7633, 1.9101, 2.0614, 3.9807, 4.1165, 4.2337, 4.3542000000000005, 4.4815000000000005, 4.6238, 4.7506, 5.0442, 5.1924]","[0.1205, 0.1282, 0.27090000000000003, 0.4097, 0.5346000000000001, 0.6699, 0.8222, 1.496, 1.6575, 1.8009000000000002, 1.9499, 2.1013, 4.0241, 4.1373, 4.2647, 4.3898, 4.5202, 4.6515, 4.7821, 5.0875, 5.2095]","[0.9855, 1.1242]","[1.0409000000000002, 1.1768]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
4,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,21.00303,25.571333,4.568303,2.8182,3.5683,0.7500999999999998,3.0755000000000003,3.3015000000000003,0.226,aaa,aaa,1,,0,1,0,1,-70.0,"[1.0244, 1.1681, 1.3296, 1.4689, 1.6275000000000002, 1.7925, 1.9335, 2.4683, 2.5908, 2.7236, 3.3015000000000003, 3.4355, 3.5485, 3.6733, 3.805, 3.9349, 4.0715, 4.2473, 4.4014000000000015]","[1.0677, 1.2207, 1.3661, 1.5125000000000002, 1.6669999999999998, 1.8296, 1.9497, 2.4817, 2.6319999999999997, 2.7823, 3.3436000000000003, 3.4607, 3.5879000000000003, 3.7166, 3.8394, 3.9695, 4.1188, 4.2884, 4.4408]","[0.1093, 0.2862, 0.4916, 2.0904000000000003, 2.2438]","[0.1626, 0.34950000000000003, 0.5683, 2.1499, 2.3067]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
5,1,0.0,0,0,0,1.0,0.0,1.0,0.0,1.0,1,25.58253,30.848533000000003,5.266003000000001,2.8207,4.266,1.4453,3.0787,3.2565,0.17779999999999996,iaa,iaa,1,,0,0,1,1,70.0,"[0.5381, 0.6682, 0.8256, 3.2565, 3.4094, 3.5506, 3.6954, 3.8465, 3.9899, 4.1524]","[0.5684, 0.7190000000000001, 0.8785000000000001, 3.3067, 3.4663000000000004, 3.592, 3.7469, 3.8867, 4.0288, 4.1861000000000015]","[0.0019, 0.1671, 0.3292, 2.7223, 2.7321, 2.9199, 3.0241, 4.6581, 4.7579, 4.8922, 5.0243, 5.1698]","[0.0757, 0.2276, 0.3957, 2.7235, 2.8233, 2.9395, 3.0312, 4.666, 4.8118, 4.9497, 5.086, 5.2346]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
6,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,30.860631,35.49303300000001,4.632401999999996,2.8207,3.6324,0.8117000000000001,3.0787,3.3649,0.2862,iaa,iaa,1,,0,0,1,1,70.0,"[0.1005, 0.2173, 0.35500000000000004, 0.5459, 2.7157, 2.7607, 2.8459000000000003, 4.1818, 4.3313000000000015, 4.4785]","[0.1106, 0.26530000000000004, 0.406, 0.5605, 2.7561, 2.762, 2.9356, 4.2272, 4.3786000000000005, 4.5214]","[2.4097, 3.3649, 3.5019, 3.6159, 3.7485, 3.8798]","[2.4357, 3.4158, 3.5354, 3.6678, 3.7998, 3.9371]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
7,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,35.50413,39.915633,4.411502999999996,2.8182,3.4115,0.5933000000000002,3.0755000000000003,3.1447000000000003,0.06919999999999993,aaa,aaa,1,,0,1,0,1,-70.0,"[2.2472000000000003, 2.2764, 2.3713, 2.5185, 3.0243, 3.1447000000000003, 3.2643, 3.3894, 3.5331, 3.6846, 3.8664]","[2.272, 2.2920000000000003, 2.4258, 2.5623, 3.0285, 3.1828000000000003, 3.3094, 3.4432, 3.5843000000000003, 3.7266, 3.8958]","[1.9752, 2.8075]","[2.0346, 2.8626]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
8,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,39.92943,44.472333,4.542902999999996,2.8207,3.5429000000000004,0.7222000000000004,3.0787,3.2754000000000003,0.19670000000000032,iaa,iaa,1,,0,0,1,1,70.0,"[1.0035, 1.0959999999999999, 1.7628, 1.8811, 2.2344, 4.2213, 4.3879]","[1.013, 1.143, 1.8009000000000002, 1.9368, 2.2661, 4.2692000000000005, 4.4326]","[0.8099000000000001, 1.3965, 1.5419, 3.2754000000000003, 3.4068, 3.5157000000000003, 3.6418, 3.7755, 3.9211]","[0.8293, 1.4538, 1.6087, 3.3221000000000003, 3.4322000000000004, 3.5620000000000003, 3.6907, 3.8302, 3.9746]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
9,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,44.48423,49.15273300000001,4.668503000000001,2.8182,3.6685,0.8502999999999998,3.0755000000000003,3.4017,0.3261999999999996,aaa,aaa,1,,0,1,0,1,-70.0,"[2.3834, 2.5576000000000003, 3.4017, 3.5213, 3.6266, 3.752, 3.8822, 4.0179]","[0.0347, 2.4369, 2.6002, 3.4408000000000003, 3.5471000000000004, 3.6715, 3.7929, 3.9232, 4.0549]","[1.9544, 2.0755, 2.218, 4.3086, 4.4780000000000015]","[1.9974, 2.1345, 2.2927, 4.3688, 4.5275]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
10,0,1.0,1,0,0,1.0,0.0,1.0,0.0,1.0,1,49.17343,53.776233,4.602802999999994,2.8182,3.6028,0.7845999999999997,3.0755000000000003,3.2171000000000003,0.14159999999999995,aaa,aaa,1,,0,1,0,1,-70.0,"[0.1077, 0.2523, 2.4899, 2.6178, 2.9763, 3.3360000000000003, 3.4561, 3.5605, 3.6869, 3.8149, 3.9543, 4.099, 4.2345000000000015, 4.3855]","[0.15080000000000002, 0.3053, 2.5284, 2.6706000000000003, 3.0286, 3.3796000000000004, 3.4819999999999998, 3.6048, 3.7271, 3.8551, 3.9969, 4.1293000000000015, 4.2706, 4.4268]","[2.1942, 2.2842, 3.2171000000000003]","[2.1979, 2.3424, 3.2339]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
11,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,53.78793,58.351333,4.563402999999994,2.8207,3.5634,0.7427000000000001,3.0787,3.2959,0.2172000000000001,iaa,iaa,1,,0,0,1,1,70.0,"[2.0907, 2.2379, 2.5126, 2.7342, 4.0207000000000015, 4.1355, 4.2714, 4.4389]","[2.1435, 2.2865, 2.5676, 2.7746, 4.035, 4.1824, 4.3185, 4.4697000000000005]","[1.9251, 3.2959, 3.2986, 3.4334, 3.5557000000000003, 3.6927, 3.8397]","[1.9828, 3.2984, 3.3476000000000004, 3.4760000000000004, 3.609, 3.7518, 3.8942]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220117-120429,2022-01-17,12:04:38.094290,13:08:39.799567
