Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,ILDRep,P
0,1,,0,0,1,0.0,,,,,0,0.33923200000000003,5.5454339999999975,5.206201999999998,2.9387000000000003,4.2062,1.2674999999999996,3.1967000000000003,4.1967,0.9999999999999996,iaa,iaa,1,,0,0,1,1,70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
1,0,,0,0,1,0.0,,,,,0,5.557032,10.642034,5.085001999999999,2.8182,4.085,1.2668,3.0755000000000003,4.0755,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,[],[],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
2,0,,0,0,1,0.0,,,,,0,10.653331,15.738334,5.0850029999999995,2.8182,4.085,1.2668,3.0755000000000003,4.0755,0.9999999999999996,aaa,aaa,1,,0,1,0,1,-70.0,[1.3649],[1.3921],[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
3,0,,1,0,0,0.0,1.0,,0.0,,1,15.750332,20.369034,4.618701999999999,2.8182,3.6187,0.8005,3.0755000000000003,3.3519,0.27639999999999976,aaa,aaa,1,,0,1,0,1,-70.0,"[0.0439, 0.30860000000000004, 0.3169, 1.0884, 1.2224000000000002, 3.3519, 3.5009, 3.6107, 3.7453, 3.8834, 4.0351]","[0.0532, 0.30920000000000003, 0.3325, 1.0968, 1.2777, 3.386, 3.5183, 3.635, 3.7814, 3.929, 4.0823]","[1.5759999999999998, 1.7152]","[1.5836, 1.7239]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
4,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,20.379531,24.955534,4.576003,2.8182,3.576,0.7578,3.0755000000000003,3.3092,0.2336999999999998,aaa,aaa,1,,0,1,0,1,-70.0,"[3.3092, 3.415, 3.5276]","[3.3368, 3.447, 3.5748]",[],[],20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
5,1,0.0,0,0,1,0.0,,1.0,,,0,24.965031,30.053234000000003,5.088203,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],"[0.6651, 0.8186, 0.9621, 1.4451]","[0.6996, 0.8427, 0.9922, 1.4462000000000002]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
6,1,,1,0,0,0.0,1.0,,1.0,,1,30.063831,35.31293400000001,5.249102999999998,2.8207,4.2491,1.4284000000000003,3.0787,3.9816,0.9029000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],"[0.8551000000000001, 0.9932, 1.1207, 3.9816, 4.1276, 4.2613, 4.3974, 4.5293, 4.6703, 4.8178, 5.0096, 5.1662]","[0.8662000000000001, 1.0098, 1.1471, 3.9898, 4.1353, 4.2756, 4.4154, 4.5481, 4.6924, 4.8479, 5.024100000000002, 5.1922000000000015]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
7,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,35.322731,40.274534,4.951803000000004,2.8207,3.9518,1.1311,3.0787,3.6843,0.6056000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.1963, 0.28900000000000003, 1.0228000000000002, 1.0521, 1.0772000000000002]","[0.1985, 0.34490000000000004, 1.0387, 1.0744, 1.0839]","[3.6843, 3.8181, 3.9555, 4.0966000000000005, 4.2383000000000015, 4.3859, 4.5391]","[3.6974, 3.8298, 3.9672, 4.1099000000000006, 4.2503, 4.4034, 4.5550000000000015]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
8,1,1.0,0,0,1,0.0,,1.0,,,0,40.284731,45.372934,5.088203,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,"[0.0188, 1.3795000000000002]","[0.08080000000000001, 1.4416]","[0.9674, 1.1396, 1.8093, 4.8464, 4.9658000000000015]","[0.9728, 1.143, 1.8359, 4.8594, 4.988]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
9,1,,0,0,1,0.0,,,,,0,45.382831,50.471034,5.088203,2.8207,4.0882000000000005,1.2675000000000003,3.0787,4.0787,1.0000000000000004,iaa,iaa,1,,0,0,1,1,70.0,[],[],"[0.1218, 0.26780000000000004, 0.4063, 1.0324]","[0.0217, 0.1532, 0.3037, 0.4635, 1.0352]",20,1.0,0.0,0.0,1,0,1,0,0,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,334,36003,334,1.6.2,334_stage_training_v2_20220117-132353,2022-01-17,13:24:02.628153,13:39:57.979353,,
