Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,,0,0,1,0,,,,,0,0.3376119999999999,14.422315,14.084703,2.8181000000000003,13.0846,10.2665,3.0751,13.0751,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
1,1,,0,0,1,0,,,,,0,14.436312,28.523515000000003,14.087203,2.8206,13.0871,10.2665,3.0776000000000003,13.0776,10.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
2,0,,0,0,1,0,,,,,0,28.539112,42.623815,14.084703,2.8181000000000003,13.0846,10.2665,3.0751,13.0751,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
3,1,,0,0,0,1,0.0,,0.0,,1,42.638212,57.011915,14.373703,2.8206,13.3736,10.553,3.0776000000000003,3.3641,0.2864999999999997,iaa,iaa,1,,0,0,1,1,70.0,,"[3.3641, 3.3733, 3.4844000000000004, 3.6204, 3.7244, 3.8306, 3.951, 4.0684000000000005, 4.2292000000000005, 4.6464]","[3.3715, 3.4716, 3.5571, 3.6781, 3.775, 3.8804, 4.0097000000000005, 4.1480000000000015, 4.254, 4.6585]",[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
4,0,1.0,0,0,1,0,,0.0,,,0,57.027512,71.112215,14.084703000000005,2.8181000000000003,13.0846,10.2665,3.0751,13.0751,10.0,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
5,1,,0,0,1,0,,,,,0,71.130312,85.217515,14.087203000000002,2.8206,13.0871,10.2665,3.0776000000000003,13.0776,10.0,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
6,0,,1,0,0,0,1.0,,0.0,,1,85.235712,89.330315,4.094602999999991,2.8181000000000003,3.0945,0.2763999999999997,3.0751,3.0849,0.0098000000000002,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.0849, 3.1101, 3.1215, 3.4881, 3.6053, 4.0785]","[3.0873, 3.1124, 3.1251, 3.5475000000000003, 3.6881, 4.0859000000000005]",[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
7,1,0.0,0,0,1,0,,1.0,,,0,89.342912,103.430115,14.087203000000002,2.8206,13.0871,10.2665,3.0776000000000003,13.0776,10.0,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
8,0,,1,0,0,0,1.0,,0.0,,1,103.443812,114.623415,11.179603,2.8181000000000003,10.1795,7.3614000000000015,3.0751,10.1699,7.0948,aaa,aaa,1,,0,1,0,1,-70.0,,[10.1699],[10.1711],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
9,1,0.0,1,0,0,0,1.0,1.0,1.0,0.0,1,114.637212,125.027315,10.390102999999996,2.8206,9.39,6.5694,3.0776000000000003,9.3804,6.3028,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[9.3875, 9.9691]","[9.3963, 9.9809]",[9.3804],[9.5361],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
10,0,0.0,1,0,0,1,0.0,1.0,0.0,0.0,1,125.041312,130.01161499999998,4.970303000000001,2.8181000000000003,3.9702,1.1521,3.0751,3.9522,0.8771000000000004,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[3.9606],[3.9625],[3.9522],[3.9615],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
11,1,0.0,0,0,1,0,,0.0,,,0,130.027512,144.114715,14.087202999999988,2.8206,13.0871,10.2665,3.0776000000000003,13.0776,10.0,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
12,0,,0,0,1,0,,,,,0,144.128512,158.213215,14.08470299999999,2.8181000000000003,13.0846,10.2665,3.0751,13.0751,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0069999999999999,0.0069999999999999,100,1,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,2.0,RT,0.125,0.125,0.125,/dev/ttyACM31,stage_training_v4,Alexis,pv_nmdar_eranet,2AFC_4,Bpod1,873,36001,873,1.6.2,873_stage_training_v4_20230508-123322,2023-05-08,12:33:35.156687,13:27:52.404345
