,Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,Evidence,EviRep,Coherence,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Substage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,1,,1,0,0,0.0,1.0,,1.0,,1,0.355631,4.089233999999999,3.7336030000000004,3.1990000000000003,3.7335,0.5344999999999995,3.4565,3.4665000000000004,0.010000000000000231,uuc,uuc,1.0,,1.0,[],[],"[3.4665000000000004, 3.5202, 3.5207, 3.5383, 3.5665, 3.7088, 3.7196]","[3.5197000000000003, 3.5205, 3.5239999999999996, 3.5581, 3.6944, 3.7154]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
1,1,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,4.104131,7.718334,3.614203,3.0803000000000003,3.6141,0.5337999999999998,3.3378,3.3471,0.009300000000000086,ufp,ufp,1.0,1.0,1.0,[],[],"[0.0105, 0.0291, 0.0449, 0.1303, 0.2375, 0.2649, 0.3634, 0.8032, 0.9025, 1.0185, 1.2577, 1.2603, 1.7786000000000002, 1.9112, 2.0289, 2.1441, 2.2469, 2.3731, 2.4911000000000003, 2.6392, 3.2798000000000003, 3.3471, 3.3704, 3.3848000000000003, 3.3943000000000003, 3.4204000000000003, 3.4671000000000003, 3.585, 3.5958, 3.6109]","[0.0048, 0.0128, 0.0313, 0.0904, 0.1968, 0.2382, 0.2666, 0.3758, 0.8266, 0.9195, 1.0267, 1.2595, 1.2662, 1.7993, 1.9409, 2.0576000000000003, 2.1785, 2.2998000000000003, 2.4257, 2.5478, 2.6821, 3.3138, 3.3588, 3.3729, 3.3905000000000003, 3.4203, 3.4205, 3.5346, 3.5881000000000003, 3.6002]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
2,2,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,7.761431,11.372933999999999,3.611503000000001,3.0758,3.6114,0.5356000000000001,3.3335000000000004,3.3442000000000003,0.010699999999999932,auf,auf,-1.0,-1.0,0.0,"[3.3442000000000003, 3.4218, 3.4488000000000003, 3.4523, 3.4923, 3.5696000000000003]","[3.4210000000000003, 3.4222, 3.4511000000000003, 3.4872, 3.4949000000000003, 3.576]","[0.0697, 0.17120000000000002, 0.1999, 0.2798, 0.2997, 0.4195, 0.5667, 1.3281, 1.4766, 1.6443, 2.5488, 2.7166]","[0.1101, 0.1935, 0.2345, 0.2968, 0.3551, 0.4795, 0.6091, 1.3565, 1.4968, 1.6675, 2.5722, 2.7285]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
3,3,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,11.390731,15.005434,3.6147029999999987,3.08,3.6146,0.5345999999999997,3.3375000000000004,3.3476000000000004,0.010099999999999998,usb,usb,1.0,-1.0,1.0,"[0.0378, 0.134, 0.151, 0.2493, 0.265, 0.8344]","[0.0517, 0.1353, 0.1699, 0.2617, 0.2933, 0.8400000000000001]","[0.5449, 1.2158, 1.3274, 1.4622000000000002, 1.4974, 1.6325, 1.8162, 2.186, 3.2542, 3.3476000000000004, 3.4865000000000004, 3.5019, 3.53, 3.5917000000000003]","[0.5649000000000001, 1.2398, 1.4177, 1.4854, 1.5839, 1.7691, 1.9321, 2.2366, 3.2945, 3.4781, 3.4879, 3.5269999999999997, 3.5518]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
4,4,0,0.0,1,0,0,1.0,0.0,1.0,0.0,0.0,1,15.038331,18.902834,3.864502999999999,3.0724,3.8644,0.7919999999999998,3.3301000000000003,3.3712,0.04109999999999969,anb,anb,-1.0,-1.0,0.0,"[3.5972, 3.616, 3.7136, 3.7345, 3.8245, 3.8465]","[3.6122, 3.6438, 3.719, 3.7526, 3.8413]","[0.0572, 0.17320000000000002, 0.1749, 0.17550000000000002, 0.1924, 0.1949, 0.2076, 0.32480000000000003, 0.4418, 0.5640000000000001, 0.665, 0.7645000000000001, 0.8208000000000001, 1.2558, 1.3519999999999999, 1.394, 1.504, 1.6303, 1.6752, 1.7017, 1.904, 2.0161, 2.0794, 2.1664000000000003, 2.1981, 2.2096, 3.1469, 3.2798000000000003, 3.3712]","[0.013, 0.11699999999999999, 0.1734, 0.1754, 0.191, 0.1947, 0.195, 0.2274, 0.3377, 0.4619, 0.5957, 0.7217, 0.7778, 0.8544, 1.264, 1.3779, 1.4351, 1.5843, 1.6751, 1.6753, 1.7379, 1.975, 2.0257, 2.123, 2.1842, 2.2077, 2.2525, 3.1703, 3.3160000000000003, 3.5158]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
5,5,0,1.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1,18.936931,22.546734,3.6098029999999994,3.0767,3.6097,0.5329999999999999,3.3344,3.3425,0.008100000000000218,amq,amq,-1.0,1.0,0.0,"[0.0483, 0.215, 3.3425]","[0.1007, 0.2253, 3.4856000000000003]","[0.2923, 0.3717, 1.093, 1.1568, 1.1804, 2.3955, 2.7403, 3.1872000000000003]","[0.2973, 0.3759, 1.1004, 1.1803, 1.1805, 2.4117, 2.7589, 3.218]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
6,6,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,22.565531,26.564134000000003,3.9986029999999992,3.4669000000000003,3.9985,0.5315999999999996,3.7246,3.7313,0.006699999999999928,aso,aso,-1.0,1.0,0.0,"[0.121, 0.2376, 0.3636, 0.4878, 0.6053000000000001, 3.7313, 3.9435]","[0.1542, 0.2705, 0.3861, 0.5102, 0.633, 3.8775, 3.9697]","[0.6889000000000001, 0.7671, 0.8938, 1.4975, 1.5702, 1.8245, 2.5094000000000003, 2.6188, 2.6541, 2.7493000000000003, 2.7963, 2.9415, 3.1283000000000003, 3.1879, 3.5682, 3.9202, 3.9205]","[0.6979000000000001, 0.7851, 0.9114, 1.5179, 1.5955, 1.8696, 2.5401, 2.6226000000000003, 2.6910000000000003, 2.7665, 2.8358000000000003, 2.9894000000000003, 3.136, 3.2266000000000004, 3.6154, 3.9204, 3.9257]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
7,7,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,26.603231,30.206334000000002,3.6031029999999973,3.0782000000000003,3.603,0.5247999999999999,3.3357,3.3360000000000003,0.000300000000000189,ugh,ugh,1.0,-1.0,1.0,"[0.0035, 0.0064, 0.1181, 0.2413, 0.361, 0.4878]","[0.004, 0.026, 0.1369, 0.2591, 0.3797, 0.5138]","[0.5592, 0.6426000000000001, 0.785, 1.7529, 2.0108, 2.1853, 2.2327, 2.3419000000000003, 2.391, 3.1938, 3.3353, 3.3356000000000003, 3.3360000000000003, 3.3369999999999997, 3.3849, 3.5233000000000003, 3.5242, 3.5325]","[0.5951000000000001, 0.6487, 0.7924, 1.771, 2.0415, 2.2122, 2.2623, 2.3555, 2.4263, 3.2344, 3.3354000000000004, 3.3359, 3.3362000000000003, 3.3815, 3.5099, 3.5236, 3.5278, 3.5794]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
8,8,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,30.251231,33.868334000000004,3.6171029999999966,3.0801000000000003,3.617,0.5368999999999997,3.3376,3.35,0.012399999999999967,ujk,ujk,1.0,1.0,1.0,[],[],"[0.011, 0.0815, 0.1228, 0.1956, 0.2425, 0.457, 0.4947, 0.5788, 0.6077, 0.6806, 0.7390000000000001, 0.81, 0.9431, 1.0783, 1.2157, 1.3607, 1.5442, 1.5446, 1.5922, 1.7428, 1.8176, 1.8464, 1.86, 1.9942, 2.2088, 2.3641, 2.4667000000000003, 3.2029, 3.35, 3.3868, 3.5125]","[0.0107, 0.0412, 0.0979, 0.14750000000000002, 0.2209, 0.2606, 0.4624, 0.5195000000000001, 0.5831000000000001, 0.6392, 0.7203, 0.7693, 0.903, 1.0399, 1.1727, 1.3181, 1.4565, 1.5443, 1.5919, 1.5923, 1.7489, 1.8463, 1.8465, 1.9025, 2.0277000000000003, 2.2212, 2.4075, 2.4814000000000003, 3.2544, 3.3527, 3.4727]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
9,9,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,33.885231,37.581234,3.6960030000000046,3.08,3.6959,0.6158999999999999,3.3375000000000004,3.4289,0.0913999999999997,udq,dqk,1.0,1.0,1.0,[],[],"[0.0422, 0.1369, 0.1374, 0.13770000000000002, 0.138, 0.1385, 0.1415, 0.28350000000000003, 0.2929, 0.2932, 0.2934, 0.2937, 0.2939, 0.2944, 0.298, 0.9726, 1.0333, 1.1078, 1.2202, 1.3403, 1.4779, 1.5562, 1.6229, 1.6501, 1.7682, 1.9317, 1.9587, 1.9917, 2.2832, 2.4872, 3.1662000000000003, 3.2662, 3.4289, 3.5632, 3.6792]","[0.13490000000000002, 0.13699999999999998, 0.1376, 0.1379, 0.13820000000000002, 0.14070000000000002, 0.1453, 0.2853, 0.29300000000000004, 0.2933, 0.2936, 0.2938, 0.2943, 0.2949, 0.8740000000000001, 0.9761, 1.0587, 1.1868, 1.3070000000000002, 1.4421000000000002, 1.5405, 1.5841, 1.6364, 1.7284000000000002, 1.8827, 1.9453, 1.9916, 1.9918, 2.4331, 2.5052000000000003, 3.1988000000000003, 3.3935, 3.5376000000000003, 3.6412]",20,0.75,2.0,0.25,1,0,0,1,1,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,913,36003,913,1.6.2,913_stage_training_20210526-200753,2021-05-26,20:08:02.819530,20:38:24.828042
