,Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,Evidence,EviRep,Coherence,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Substage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,0,,1,0,0,0.0,1.0,,0.0,,1,0.335212,3.811314,3.476102,2.9414,3.4760000000000004,0.5346000000000006,3.1989,3.2089999999999996,0.010099999999999998,aar,aar,-1.0,,0.0,"[3.2089999999999996, 3.2227, 3.2714000000000003, 3.2815000000000003, 3.4654000000000003]","[3.2169000000000003, 3.2677, 3.2791, 3.3174]","[1.5127000000000002, 2.2866, 2.4423, 2.5656000000000003, 2.7561]","[1.5438, 2.3266, 2.4748, 2.6252, 2.8325]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
1,1,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,3.823611,7.199014,3.375403,2.8262,3.3753,0.5491000000000001,3.0837000000000003,3.1083000000000003,0.024599999999999955,ais,ais,-1.0,1.0,0.0,"[0.08510000000000001, 0.1782, 0.2843, 0.3948, 0.5029, 0.6148, 0.7461, 0.8761, 1.0108, 2.8301000000000003, 3.1083000000000003, 3.1878, 3.2047000000000003, 3.2049000000000003, 3.2078, 3.3021000000000003, 3.3261000000000003]","[0.0987, 0.2199, 0.3226, 0.4307, 0.5392, 0.6576000000000001, 0.7896000000000001, 0.9191, 1.054, 2.8388, 3.128, 3.1975, 3.2048, 3.2060000000000004, 3.2356000000000003, 3.3123, 3.3484000000000003]",[],[],20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
2,2,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,7.209411,10.670514,3.4611030000000005,2.8217000000000003,3.4610000000000003,0.6393,3.0792,3.194,0.11479999999999979,agf,agf,-1.0,1.0,0.0,"[0.029300000000000007, 0.1521, 0.3115, 0.4521, 0.5741, 0.617, 0.7446, 0.7761, 3.194, 3.2934, 3.3926000000000003]","[0.0747, 0.2008, 0.32330000000000003, 0.4825, 0.5884, 0.6494, 0.7645000000000001, 0.8067000000000001, 3.2429, 3.3312, 3.4366000000000003]",[],[],20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
3,3,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,10.681212,14.138914000000002,3.4577019999999994,2.8314,3.4576,0.6261999999999999,3.0869999999999997,3.1925000000000003,0.10550000000000015,ukn,ukn,1.0,-1.0,1.0,"[0.0324, 0.1517, 0.2612, 0.4198, 1.2309999999999999, 1.8391]","[0.0752, 0.1939, 0.314, 0.44299999999999995, 1.2417, 1.8424]","[0.6759000000000001, 0.7085, 0.8441000000000001, 1.0131, 1.5012, 1.5462, 1.6425, 2.0111, 2.1089, 2.1656, 2.5356, 2.8804000000000003, 2.9329, 3.1925000000000003]","[0.68, 0.727, 0.8991, 1.0575, 1.519, 1.5589000000000002, 1.7018, 2.0152, 2.1301, 2.1865, 2.5398, 2.9113, 2.9531, 3.2316000000000003]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
4,4,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,14.149110999999998,17.598014000000003,3.4489029999999996,2.8280000000000003,3.4488000000000003,0.6208,3.0836,3.1837,0.10009999999999986,udj,udj,1.0,1.0,1.0,"[0.8887, 0.9296, 1.2699]","[0.8942, 0.9414, 1.2787000000000002]","[0.1366, 0.3959, 0.5421, 1.0478, 1.0826, 1.4113, 1.4446, 2.1042, 2.1336, 3.1837]","[0.18000000000000002, 0.4421000000000001, 0.5982000000000001, 1.0723, 1.1135000000000002, 1.4302, 1.4706, 2.1335, 2.1972, 3.2027]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
5,5,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,17.609512,20.963214,3.353702000000002,2.8192,3.3536,0.5344000000000002,3.0767,3.0866,0.00990000000000002,acb,acb,-1.0,-1.0,0.0,"[0.5798, 0.6166, 1.215, 1.265, 1.8158, 1.9747, 2.0059, 3.0866, 3.1013, 3.1225, 3.2923]","[0.5935, 0.6377, 1.2217, 1.2818, 1.8317, 1.9880000000000002, 2.0384, 3.0953, 3.1198, 3.2397, 3.3238000000000003]","[0.1273, 0.2336, 0.4158, 0.7497, 0.7875000000000001, 0.9337, 1.4508, 2.1465, 2.1849000000000003]","[0.15860000000000002, 0.2817, 0.4179, 0.7541, 0.8154, 0.9931, 1.4647, 2.1612, 2.2159]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
6,6,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,20.975210999999998,24.425714000000003,3.4505029999999977,2.8335000000000004,3.4504,0.6168999999999998,3.0891,3.1853,0.09620000000000006,uuk,uuk,1.0,-1.0,1.0,"[0.0317, 0.1297, 0.2446, 0.266, 0.3998]","[0.0453, 0.1763, 0.25320000000000004, 0.2968, 0.4055]",[3.1853],[3.1933],20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
7,7,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,24.436711,28.410214,3.973503000000001,2.8332,3.9734,1.1401999999999997,3.0888,3.7083,0.6195000000000004,utk,utk,1.0,1.0,1.0,"[0.3392, 0.3695, 0.4555, 0.4812, 0.5722, 0.5930000000000001, 0.6937, 0.8244, 1.2692, 1.3221]","[0.34990000000000004, 0.3883, 0.4628, 0.5021, 0.5798, 0.6196, 0.7452000000000001, 0.8768, 1.2703, 1.3358]","[0.109, 1.1199, 3.7083, 3.8232, 3.9367]","[0.0107, 0.1347, 1.1645, 3.7505, 3.8581]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
8,8,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,28.421812,31.891914,3.4701020000000007,2.8228,3.47,0.6472000000000002,3.0803000000000003,3.2030000000000003,0.12270000000000003,abo,abo,-1.0,-1.0,0.0,"[0.7419, 1.7163000000000002, 3.2030000000000003, 3.3137000000000003, 3.4240000000000004]","[0.7543000000000001, 1.7372, 3.2550000000000003, 3.3549, 3.4683]","[0.07490000000000001, 0.5291, 1.1487, 1.3113]","[0.123, 0.5847, 1.2116, 1.3682]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
9,9,0,1.0,1,0,0,1.0,0.0,1.0,0.0,1.0,1,31.904211,35.455714,3.5515030000000003,2.8244,3.5514,0.7270000000000003,3.0819,3.1156,0.03370000000000006,ago,ago,-1.0,1.0,0.0,"[0.1014, 0.1956, 0.2247, 0.3282, 0.34800000000000003, 0.4615, 0.5998, 2.6121000000000003, 3.2844, 3.2998000000000003, 3.4374, 3.4581]","[0.1191, 0.1999, 0.2473, 0.3425, 0.3781, 0.5105000000000001, 0.652, 2.6242, 3.2937000000000003, 3.3577000000000004, 3.4489, 3.4837]","[2.1961, 2.3073, 2.7998000000000003, 2.9303000000000003, 2.9736, 3.1156]","[2.2056, 2.3589, 2.8083, 2.9392, 2.9939999999999998, 3.1764]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
10,10,1,0.0,1,0,0,0.0,1.0,0.0,1.0,0.0,1,35.467512,38.859214,3.391702000000002,2.8311,3.3916,0.5604999999999998,3.0867,3.1265,0.03980000000000006,umk,umk,1.0,-1.0,1.0,"[0.1143, 0.2386]","[0.0444, 0.1605, 0.2922]","[3.1265, 3.1374, 3.1473, 3.1497, 3.1506000000000003, 3.1590000000000003, 3.3346]","[3.1368, 3.1433, 3.1493, 3.1503, 3.1579, 3.1888, 3.3622]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
11,11,1,1.0,1,0,0,0.0,1.0,1.0,1.0,1.0,1,38.870112,42.245914,3.375802,2.8317,3.3757,0.544,3.0873,3.1106000000000003,0.02330000000000032,usg,usg,1.0,1.0,1.0,"[2.1045000000000003, 2.3146, 2.3189]","[2.138, 2.3188, 2.319]","[0.0386, 0.2509, 0.3665, 0.6344000000000001, 0.6599, 0.7689, 0.9203, 1.5054, 1.6588, 1.8684, 2.4844, 3.1106000000000003, 3.1282, 3.2762, 3.3654]","[0.0613, 0.2913, 0.4064, 0.6553, 0.684, 0.8275, 0.9535, 1.5287000000000002, 1.6893, 1.9458, 2.5098000000000003, 3.1125000000000003, 3.2056, 3.2954000000000003]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM35,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod5,906,36010,906,1.6.2,906_stage_training_20210602-173355,2021-06-02,17:34:04.505966,18:11:21.106866
