,Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,Evidence,EviRep,Coherence,Port1In,Port1Out,Port2In,Port2Out,AW,Switch,Timeout,Fixation,Stage,Substage,Motor,REC,Progression,CB,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,0,0,,1,0,0,1.0,0.0,,0.0,,1,0.335331,3.9374339999999997,3.602103,2.9429000000000003,3.6020000000000003,0.6591,3.2006,3.2922,0.09160000000000013,atd,atd,-1.0,,0.0,"[3.3348, 3.4322000000000004, 3.5252000000000003]","[3.3765, 3.4618, 3.5569]","[2.7089000000000003, 2.8911, 2.9171, 3.2922, 3.4906]","[2.7857000000000003, 2.9088000000000003, 2.9773, 3.4852000000000003, 3.5763000000000003]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
1,1,0,1.0,0,0,1,0.0,,0.0,,,0,3.948931,8.038134,4.0892029999999995,2.8219000000000003,4.0891,1.2671999999999999,3.0796,4.0796,1.0,adj,adj,-1.0,1.0,0.0,"[0.2756, 0.3798, 0.7875000000000001, 1.0926, 1.5993000000000002]","[0.2982, 0.4238, 0.8615, 1.1465, 1.6684]","[0.0939, 0.2548, 0.3431, 0.4972, 0.5971000000000001, 0.7678, 0.9256, 1.0504, 1.2267, 1.3883, 1.5490000000000002, 1.5646, 1.5649000000000002, 1.5716, 1.7742]","[0.0505, 0.17350000000000002, 0.3022, 0.421, 0.5527000000000001, 0.6982, 0.8627, 1.0026000000000002, 1.1561, 1.3106, 1.4795, 1.5645, 1.5648, 1.5650000000000002, 1.6703, 1.8162]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
2,2,0,,1,0,0,0.0,1.0,,0.0,,1,8.050031,11.408033999999999,3.358003,2.821,3.3579000000000003,0.5369000000000002,3.0787,3.0907,0.01200000000000001,aja,aja,-1.0,,0.0,"[0.6794, 0.8004, 0.9058, 1.021, 1.5641, 1.6806, 2.3189, 3.0907, 3.1066000000000003, 3.1272, 3.137, 3.1511]","[0.731, 0.8426, 0.9513, 1.0574, 1.615, 1.7383000000000002, 2.3765, 3.0967, 3.1224000000000003, 3.1338000000000004, 3.1478, 3.2394000000000003]","[0.5252, 0.5254, 0.6163000000000001, 0.7827000000000001, 0.986, 1.1219, 1.24, 1.3836000000000002, 1.5158, 1.8014, 1.9749, 2.1331, 2.1336, 2.2678000000000003, 2.268, 3.1432, 3.3391]","[0.5253, 0.5769000000000001, 0.7277, 0.9553, 1.0624, 1.1941000000000002, 1.3298, 1.4743000000000002, 1.7359, 1.8928, 2.0586, 2.1332, 2.1998, 2.2679, 2.3893, 3.3041]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
3,3,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,11.420331,14.790234,3.3699030000000008,2.8264,3.3698,0.5434000000000001,3.0839000000000003,3.1028,0.018899999999999917,uha,uha,1.0,-1.0,1.0,"[0.0962, 0.1969, 0.31, 0.6743, 0.7858, 1.2118, 1.3504, 1.4898, 1.6123, 1.7311, 1.9034]","[0.1136, 0.2411, 0.34850000000000003, 0.7192000000000001, 0.8350000000000001, 1.2611, 1.3998000000000002, 1.5333, 1.6541, 1.7804, 1.9113]","[0.06050000000000001, 0.1589, 0.2778, 0.3906, 0.5157, 0.6368, 0.8490000000000001, 0.9114, 1.0245, 1.1647, 1.3030000000000002, 1.4412, 1.5625, 1.5632, 1.5645, 1.8257, 1.9817, 2.1607000000000003, 2.2096, 2.2098, 3.1028, 3.2713, 3.3644000000000003]","[0.0076, 0.1165, 0.241, 0.34700000000000003, 0.4713, 0.5977, 0.8489, 0.8491000000000001, 0.9746, 1.1157, 1.2645, 1.4116, 1.5492, 1.5626, 1.5634, 1.7921, 1.9219, 2.0899, 2.1853, 2.2097, 2.2889, 3.2463, 3.3329]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
4,4,0,0.0,1,0,0,0.0,1.0,1.0,0.0,0.0,1,14.801931,18.156334,3.3544030000000014,2.8191,3.3543000000000003,0.5352000000000001,3.0768,3.0871,0.010299999999999976,aad,aad,-1.0,-1.0,0.0,"[0.4885000000000001, 0.5048, 0.6139, 1.0899, 3.0871, 3.1027, 3.1299, 3.2642, 3.3529]","[0.4967, 0.5317000000000001, 0.6662, 1.141, 3.0955000000000004, 3.1204, 3.2065, 3.2894]","[0.0963, 0.2056, 0.3249, 0.4524, 0.5832, 0.7301000000000001, 0.8785000000000001, 0.8875000000000001, 0.8877, 1.0389000000000002, 1.2157, 1.3618, 1.3623, 1.3636, 1.3641, 1.3643, 1.3933, 2.8935, 2.9737, 3.1144000000000003, 3.3091000000000004, 3.3169]","[0.0509, 0.1626, 0.2838, 0.4138, 0.5344, 0.6691, 0.8183, 0.8826, 0.8876000000000001, 0.9847, 1.1495, 1.3029000000000002, 1.3619999999999999, 1.3628, 1.3637, 1.3642, 1.3827, 1.4825000000000002, 2.9325, 3.0773, 3.3089999999999997, 3.3092]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
5,5,1,0.0,1,0,0,0.0,1.0,1.0,1.0,0.0,1,18.168231,21.538134,3.3699030000000008,2.8365,3.3698,0.5333000000000001,3.0940000000000003,3.1028,0.008799999999999919,uuu,uuu,1.0,-1.0,1.0,"[0.0947, 0.1997, 0.312, 0.4253, 0.5464, 0.7793, 0.9037, 1.289, 1.423, 1.5741, 1.9274, 2.0429]","[0.0184, 0.1237, 0.2353, 0.3493, 0.4647, 0.5515, 0.8275, 0.9503, 1.3427, 1.4761, 1.6273, 1.9389, 2.0977]","[0.0309, 0.0504, 0.16399999999999998, 0.2756, 0.3887000000000001, 0.506, 0.6257, 0.7428, 0.8597, 0.8599, 0.9956, 1.1176, 1.2502, 1.5253, 1.709, 1.8312, 1.9718, 2.1855, 2.3218, 2.5343, 2.6131, 2.9445, 3.1028, 3.2654, 3.2747, 3.3508]","[0.025, 0.037000000000000005, 0.1209, 0.235, 0.3503, 0.4709, 0.5821000000000001, 0.7058, 0.8481000000000001, 0.8598, 0.9645, 1.0753, 1.209, 1.5038, 1.6439, 1.7784, 1.9475, 2.121, 2.2801, 2.4522, 2.5445, 2.6768, 3.0004, 3.2552000000000003, 3.2711, 3.3184]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
6,6,0,0.0,1,0,0,1.0,0.0,1.0,0.0,0.0,1,21.552931,25.005734,3.4528029999999994,2.8258,3.4527,0.6269,3.0835000000000004,3.1102000000000003,0.026699999999999946,ahs,ahs,-1.0,-1.0,0.0,"[0.8315, 0.9628, 1.1381, 1.2822, 1.3861, 3.0112, 3.1855, 3.3030000000000004, 3.4203]","[0.8756, 1.013, 1.1435, 1.2969000000000002, 1.4436, 3.0627, 3.2221, 3.3592]","[0.0776, 0.1885, 0.3037, 0.4272, 0.5482, 0.6684, 0.7903, 0.9105, 1.0509, 1.1889, 1.3439, 1.3441, 1.5114, 1.6307, 1.8016, 1.9823, 1.9839, 1.9843, 1.9846, 2.8935, 3.1102000000000003]","[0.0417, 0.1474, 0.2624, 0.3797, 0.5036, 0.6266, 0.7528, 0.8833000000000001, 1.0139, 1.1513, 1.3024, 1.344, 1.4524, 1.5964, 1.7511, 1.9245, 1.9838, 1.9842, 1.9845, 2.0195000000000003, 3.0656000000000003]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
7,7,0,1.0,1,0,0,1.0,0.0,0.0,0.0,1.0,1,25.017731,28.601334,3.583603,2.821,3.5835000000000004,0.7625000000000002,3.0787,3.1189999999999998,0.040300000000000225,abi,abi,-1.0,1.0,0.0,"[0.0782, 0.2108, 3.0174000000000003, 3.3163, 3.4361, 3.5435000000000003]","[0.0086, 0.1292, 0.2624, 3.0695, 3.375, 3.4749000000000003]","[0.3111, 0.3372, 0.4609, 0.4611, 0.5966, 0.7479, 0.8836, 1.0245, 1.1689, 1.3203, 1.5048, 2.8973, 2.9754, 3.1189999999999998, 3.262]","[0.27190000000000003, 0.3178, 0.4054, 0.461, 0.5344, 0.7077, 0.8412000000000001, 0.981, 1.1168, 1.273, 1.4565, 1.6525, 2.9459, 3.0711, 3.2212]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
8,8,0,1.0,1,0,0,0.0,1.0,0.0,0.0,1.0,1,28.611331,31.972234000000004,3.3609030000000004,2.8247,3.3608,0.5360999999999998,3.0824000000000003,3.0936000000000003,0.011200000000000099,ain,ain,-1.0,1.0,0.0,"[0.0591, 0.1763, 0.2994, 0.4475, 0.5482, 0.669, 2.6611, 3.0936000000000003, 3.1100000000000003, 3.2403, 3.3299000000000003]","[0.1014, 0.2188, 0.3378, 0.4682, 0.598, 0.7289, 2.7154000000000003, 3.0998, 3.1817, 3.2679]","[0.1238, 0.3797, 0.5089, 0.7703, 0.9408, 2.3753, 2.4977, 2.6044, 2.8024, 2.9519, 3.0762]","[0.1166, 0.3441, 0.4746, 0.7413000000000001, 0.8821, 1.0398, 2.4508, 2.5789, 2.7252, 2.8805, 3.0304]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
9,9,0,1.0,1,0,0,0.0,1.0,1.0,0.0,1.0,1,31.985331,35.342934,3.357603000000001,2.8214,3.3575000000000004,0.5361000000000002,3.0791,3.0903,0.011200000000000099,aic,aic,-1.0,1.0,0.0,"[0.0612, 0.17070000000000002, 0.2894, 0.4314, 0.6689, 0.7953, 0.9275, 1.0494, 1.1719000000000002, 1.3499, 3.0903, 3.1059, 3.2534]","[0.1003, 0.2116, 0.3264, 0.4484, 0.7188, 0.8432000000000001, 0.9754, 1.097, 1.2208, 1.3608, 3.0973, 3.1895, 3.2923]","[0.0277, 0.13670000000000002, 0.2505, 0.3699, 0.4983, 0.6297, 0.7607, 0.8794000000000001, 1.0097, 1.2543, 1.2601, 1.3054, 1.4115, 1.5626, 1.7041000000000002, 1.7046, 2.8925, 2.9690000000000003, 3.0983]","[0.1052, 0.2154, 0.3294, 0.4544, 0.5862, 0.7213, 0.8549, 0.9876, 1.2542, 1.2544, 1.2803, 1.3682, 1.514, 1.6472, 1.7042000000000002, 1.7868000000000002, 2.9388, 3.0567]",20,1.0,0.0,0.0,1,0,0,1,0,0,/dev/ttyACM36,stage_training,Alexis,pv_nmdar_eranet,2AFC,Bpod6,910,36003,910,1.6.2,910_stage_training_20210602-174142,2021-06-02,17:41:51.759380,18:14:54.791109
