Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,State,StateLabel,p0,p1,p2,Weights
0,0,,1,0,0,,1.0,,0.0,,1,0.350132,8.186735,7.836603,3.3181000000000003,3.8366,0.5184999999999995,3.5754,3.8198,0.2444000000000001,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.8198, 3.834, 3.9519, 4.0713, 4.2068, 4.363700000000001, 4.5134, 5.1378]","[3.8213, 3.8649, 3.973, 4.0965, 4.2514, 4.405, 4.544700000000001, 5.1738]",[4.8219],[4.8532],0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9954783388868792,5.1866746447289166e-11,0.004521661061250598,[[ 0.57587893 -1.80272454]]
1,0,1.0,1,0,0,,1.0,1.0,0.0,1.0,1,8.219832,16.935235000000002,8.715402999999998,3.3181000000000003,4.3276,1.0095,4.4849000000000006,4.7081,0.2231999999999994,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.7081, 4.7115, 4.713, 4.8279000000000005, 4.8357, 4.9435, 5.0841, 5.2052000000000005, 5.357]","[4.7098, 4.7128000000000005, 4.7389, 4.834700000000001, 4.8446, 4.973800000000001, 5.114800000000001, 5.2556, 5.3985]",[],[],0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9971833775737196,0.00024114438028251709,0.0025754780459968894,[[ 0.57587893 -1.80272454]]
2,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,16.966632,25.735135,8.768502999999999,3.3206,4.3301,1.0094999999999996,4.4876000000000005,4.761,0.2733999999999996,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[4.761, 4.872, 5.0027, 5.1291, 5.2571]","[4.7874, 4.8973, 5.039000000000001, 5.1706, 5.3072]",0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.996900764610113,7.675508579104482e-05,0.003022480304093258,[[ 0.57587893 -1.80272454]]
3,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,25.750832,34.600935,8.850103,3.3206,4.3301,1.0094999999999996,4.4876000000000005,4.8426,0.3549999999999995,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.8426, 4.9428, 5.0702, 5.2091, 5.361800000000001, 5.5051000000000005]","[4.8642, 4.9737, 5.1063, 5.244000000000001, 5.4017, 5.558]",0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9970401062699771,5.139914592833182e-05,0.0029084945840919755,[[ 0.57587893 -1.80272454]]
4,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,34.631432000000004,43.366934,8.735502000000004,3.3206,4.3301,1.0094999999999996,4.4876000000000005,4.7280000000000015,0.2404000000000001,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.728000000000001, 4.8453, 4.9694, 5.089, 5.2217, 5.3688]","[4.7593000000000005, 4.8699, 5.004300000000001, 5.133500000000001, 5.2673000000000005, 5.3881000000000006]",0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9976572303020201,7.618152776352319e-05,0.0022665881702194565,[[ 0.57587893 -1.80272454]]
5,0,0.0,1,0,0,,1.0,1.0,0.0,0.0,1,43.387931,52.077034000000005,8.689102999999996,3.3181000000000003,4.3276,1.0095,4.4849000000000006,4.6818,0.1968999999999994,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.6818, 4.8021, 5.2333, 5.3621, 5.5064]","[4.7103, 4.8423, 5.2731, 5.4108, 5.556100000000001]",[],[],0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9987506442863187,0.00023151316914537596,0.0010178425445383666,[[ 0.57587893 -1.80272454]]
6,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,52.104931,61.096233999999995,8.991303000000002,3.3206,4.3301,1.0094999999999996,4.4876000000000005,4.9838000000000005,0.4962,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[4.9838000000000005, 5.5543000000000005, 5.7103, 5.8391, 5.9874]","[5.0115, 5.6055, 5.7395000000000005, 5.8903, 6.0309]",0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.998792092872401,0.00013221091036703903,0.0010756962172308623,[[ 0.57587893 -1.80272454]]
7,0,0.0,1,0,0,,1.0,1.0,0.0,0.0,1,61.117731000000006,69.76563399999999,8.647903000000008,3.3181000000000003,4.3276,1.0095,4.4849000000000006,4.6406,0.1556999999999995,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.6406, 4.6524, 4.7671, 4.8954, 5.0494, 5.1984, 5.3232, 5.4683]","[4.647, 4.6858, 4.798, 4.9283, 5.0831, 5.236400000000001, 5.3705, 5.514200000000001]",[],[],0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9992675169851514,0.0002632332977745452,0.00046924971707387617,[[ 0.57587893 -1.80272454]]
8,0,1.0,1,0,0,,1.0,1.0,0.0,1.0,1,69.788031,78.419834,8.63180299999999,3.3181000000000003,4.3276,1.0095,4.4849000000000006,4.6245,0.1395999999999997,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.6245, 4.7407, 4.862, 4.9796000000000005, 5.1164000000000005, 5.2654000000000005]","[4.6664, 4.7724, 4.9005, 5.0328, 5.1652000000000005, 5.2917000000000005]",[],[],0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9992817470824021,0.00023196301915399253,0.0004862898984448082,[[ 0.57587893 -1.80272454]]
9,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,78.445531,87.270534,8.825002999999993,3.3206,4.3301,1.0094999999999996,4.4876000000000005,4.8175,0.3298999999999994,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[4.8175, 4.9452, 5.0635, 5.1904, 5.3273]","[4.849200000000001, 4.9735000000000005, 5.104900000000001, 5.2358, 5.3762]",0.0073,0.0075,20,1,0.5,2.0,0.5,3,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM36,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod6,330,36003,330,1.6.2,330_stage_training_v2_20220214-112119,2022-02-14,11:21:30.126289,11:40:32.251029,1,left bias,0.9987617022118568,7.472495477588181e-05,0.0011635728333644598,[[ 0.57587893 -1.80272454]]
