Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,State,StateLabel,p0,p1,p2,Weights
0,0,,1,0,0,,1.0,,0.0,,1,0.329228,8.029418,7.700189999999999,3.3181000000000003,3.7002,0.3820999999999999,3.5796,3.6792,0.0996000000000001,aaa,aaa,1,,0,1,0,1,-70.0,,"[3.6792, 3.7931, 3.9008, 4.020700000000001, 4.131600000000001, 4.256, 4.3827]","[3.7189, 3.8243, 3.9378, 4.0539000000000005, 4.1690000000000005, 4.2893, 4.4153]",[5.7251],[5.7475000000000005],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6393083949674877,0.359645224013141,0.001046381019373048,[[ 3.79139086 -0.21097723]]
1,0,1.0,1,0,0,,1.0,1.0,0.0,1.0,1,8.056728,16.680718,8.62399,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.6125,0.1233999999999992,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.6125, 4.7175, 4.8089, 4.9190000000000005, 5.0389, 5.1644000000000005]","[4.6471, 4.7333, 4.8433, 4.9583, 5.0716, 5.1923]",[],[],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6423408423519597,0.35720577214853627,0.00045338549950238243,[[ 3.79139086 -0.21097723]]
2,0,1.0,1,0,0,,1.0,1.0,0.0,1.0,1,16.709328,25.336418,8.627089999999999,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.6156000000000015,0.1265,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.615600000000001, 4.720000000000001, 4.8163, 4.9307, 5.0524, 5.1747000000000005, 5.301200000000001, 5.440300000000001, 5.5838]","[4.6539, 4.744800000000001, 4.853000000000001, 4.972, 5.0924000000000005, 5.214, 5.346, 5.479900000000001, 5.6101]",[],[],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6446378864335214,0.35453455423911423,0.000827559327368866,[[ 3.79139086 -0.21097723]]
3,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,25.353828,33.988818,8.634990000000002,3.3206,4.3301,1.0094999999999996,4.49,4.6251000000000015,0.1351000000000004,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[4.7485],[4.7854],"[4.625100000000001, 4.6269, 4.8782000000000005, 4.9748, 5.0819, 5.2037, 5.341600000000001, 5.4702]","[4.6253, 4.6289, 4.905600000000001, 5.0153, 5.1309000000000005, 5.256600000000001, 5.3941, 5.5280000000000005]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.646069165789553,0.35018939553858724,0.003741438671863333,[[ 3.79139086 -0.21097723]]
4,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,34.023528000000006,42.611518,8.587989999999998,3.3206,4.3301,1.0094999999999996,4.49,4.5781,0.0880999999999998,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.5781, 4.6969, 4.782, 4.8898, 5.008, 5.1263000000000005, 5.3792, 5.4916, 5.6174, 5.750500000000001]","[4.623, 4.7137, 4.8184000000000005, 4.929600000000001, 5.037100000000001, 5.1436, 5.4114, 5.5408, 5.6699, 5.7988]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6470286407144936,0.3474385953038127,0.005532763981699526,[[ 3.79139086 -0.21097723]]
5,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,42.635328,51.241118,8.605789999999999,3.3206,4.3301,1.0094999999999996,4.49,4.5959,0.1059000000000001,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.5959, 4.5979, 4.7092, 4.801200000000001, 4.907, 5.0280000000000005, 5.145300000000001, 5.2622, 5.383500000000001, 5.5151, 5.6444, 5.7725, 5.907500000000001, 6.038200000000001, 6.1738, 6.307, 6.4396, 6.5712]","[4.5972, 4.6386, 4.730300000000001, 4.835100000000001, 4.9494, 5.0622, 5.187600000000001, 5.3094, 5.4378, 5.568700000000001, 5.6938, 5.8307, 5.9628000000000005, 6.099600000000001, 6.2332, 6.3674, 6.4994000000000005, 6.631]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6475964641035235,0.3460810013254197,0.006322534571060536,[[ 3.79139086 -0.21097723]]
6,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,51.288028000000004,59.903618,8.615590000000005,3.3206,4.3301,1.0094999999999996,4.49,4.6057000000000015,0.1157000000000003,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.605700000000001, 4.7037, 4.7969, 4.9032, 5.0136, 5.1268, 5.2489, 5.3733, 5.4932, 5.6296, 5.7620000000000005, 5.9149]","[4.643400000000001, 4.7328, 4.839300000000001, 4.9457, 5.057, 5.1756, 5.2975, 5.4236, 5.557300000000001, 5.6894, 5.8256000000000006, 5.954000000000001]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6478233467249371,0.3460198244058178,0.0061568288692488765,[[ 3.79139086 -0.21097723]]
7,0,0.0,1,0,0,,1.0,1.0,0.0,0.0,1,59.918828000000005,68.510418,8.591590000000004,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.5801,0.0909999999999993,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.5801, 4.6923, 4.786700000000001, 4.8921, 5.008900000000001, 5.125, 5.2534]","[4.6121, 4.7172, 4.8216, 4.9305, 5.0464, 5.1637, 5.284400000000001]",[],[],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.647734342508398,0.3472556691650901,0.005009988326506505,[[ 3.79139086 -0.21097723]]
8,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,68.52422800000001,77.11981800000001,8.595590000000001,3.3206,4.3301,1.0094999999999996,4.49,4.5857,0.0956999999999999,iaa,iaa,1,,0,0,1,1,70.0,-70.0,"[5.5299000000000005, 5.6578]","[5.545100000000001, 5.6752]","[4.5857, 4.6897, 4.7801, 4.884, 5.0002, 5.1125, 5.2329, 5.369000000000001]","[4.6231, 4.720400000000001, 4.8218000000000005, 4.9333, 5.0478000000000005, 5.163, 5.290500000000001, 5.4168]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.6455637358785041,0.3457082076127293,0.008728056508768718,[[ 3.79139086 -0.21097723]]
9,0,0.0,1,0,0,,1.0,1.0,0.0,0.0,1,77.131328,85.699318,8.567990000000009,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.5565000000000015,0.0674000000000001,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.556500000000001, 4.5811, 4.607600000000001, 4.6647, 4.6673, 4.7639000000000005, 4.8712, 5.1191, 5.2293, 5.347700000000001, 5.4699, 5.5966000000000005, 5.7218, 5.8712]","[4.580900000000001, 4.5902, 4.6083, 4.6664, 4.6887, 4.7963000000000005, 4.9128, 5.1599, 5.2748, 5.3956, 5.5145, 5.6423000000000005, 5.7704, 5.9069]",[5.009],[5.038200000000001],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.643025920346632,0.34566132559679397,0.011312754056572,[[ 3.79139086 -0.21097723]]
10,0,1.0,1,0,0,,1.0,1.0,0.0,1.0,1,85.717528,94.293318,8.575789999999998,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.5643,0.0751999999999997,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.5643, 4.5697, 4.5898, 4.6652000000000005, 4.764, 4.8719, 4.9891000000000005, 5.1028, 5.218500000000001, 5.3367, 5.4566, 5.587000000000001, 5.7201, 5.862500000000001, 5.9991]","[4.5675, 4.5845, 4.5922, 4.6927, 4.797000000000001, 4.9133, 5.0299000000000005, 5.1444, 5.2626, 5.3757, 5.4995, 5.6303, 5.7626, 5.8848, 6.0112000000000005]",[],[],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.630634539466163,0.33729847097007776,0.03206698956376555,[[ 3.79139086 -0.21097723]]
11,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,94.301428,102.869218,8.567790000000002,3.3206,4.3301,1.0094999999999996,4.49,4.5579,0.0678999999999998,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[4.5579, 4.5621, 4.6714, 4.7614, 4.8644, 4.9732, 5.0841, 5.2029000000000005, 5.318700000000001, 5.4404, 5.5618, 5.6897, 5.829400000000001, 5.9775]","[4.5600000000000005, 4.6089, 4.6928, 4.7992, 4.9083000000000006, 5.016900000000001, 5.1321, 5.2508, 5.3705, 5.4952000000000005, 5.6215, 5.753, 5.8818, 5.996]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.5545402538576838,0.2809376659252562,0.16452208021705822,[[ 3.79139086 -0.21097723]]
12,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,102.894628,111.484218,8.589590000000001,3.3206,4.3301,1.0094999999999996,4.49,4.5797,0.0896999999999996,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.5797, 4.6845, 4.7751, 4.8802, 4.9935, 5.1104, 5.227, 5.3499, 5.478400000000001, 5.6067, 5.7384, 5.8753, 6.0052, 6.138800000000001]","[4.62, 4.7114, 4.8141, 4.9217, 5.0376, 5.1568000000000005, 5.2775, 5.4043, 5.5364, 5.6657, 5.804600000000001, 5.9324, 6.0600000000000005, 6.184]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,0,engaged,0.4752685001403723,0.23672791558293643,0.28800358427669037,[[ 3.79139086 -0.21097723]]
13,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,111.554128,120.122818,8.568689999999991,3.3206,4.3301,1.0094999999999996,4.49,4.5588000000000015,0.0688000000000004,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.558800000000001, 4.656000000000001, 4.7465, 4.847700000000001, 4.9515, 5.0666, 5.1935, 5.3261, 5.4565, 5.9969]","[4.5976, 4.6887, 4.7858, 4.8906, 4.9989, 5.1246, 5.261900000000001, 5.3828000000000005, 5.5106, 6.0478000000000005]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.3927057004654914,0.20223429407522342,0.40506000545928983,[[0.89269765 2.60494156]]
14,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,120.139728,128.715318,8.575589999999991,3.3206,4.3301,1.0094999999999996,4.49,4.5657000000000005,0.0757000000000003,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.5657000000000005, 4.6605, 4.7468, 4.8481000000000005, 4.960100000000001, 5.0684000000000005, 5.183400000000001, 5.3086, 5.4317, 5.560700000000001, 5.6943, 5.824400000000001, 5.9556, 6.0845, 6.2194, 6.3464, 6.4892]","[4.605, 4.6881, 4.7855, 4.893, 5.0023, 5.1157, 5.242900000000001, 5.3653, 5.4942, 5.6273, 5.7592, 5.8905, 6.0200000000000005, 6.153300000000001, 6.2834, 6.418900000000001, 6.549300000000001]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.3067182147983619,0.17556342162665775,0.5177183635749848,[[0.89269765 2.60494156]]
15,1,1.0,1,0,0,,1.0,1.0,1.0,1.0,1,128.728328,137.289618,8.561289999999985,3.3206,4.3301,1.0094999999999996,4.49,4.5514,0.0613999999999999,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.5514, 4.656000000000001, 4.7469, 4.8447000000000005, 4.944500000000001, 5.055000000000001, 5.1690000000000005, 5.2864, 5.4179, 5.5541, 5.903300000000001, 6.0286, 6.17]","[4.5944, 4.6832, 4.7832, 4.88, 4.9878, 5.1009, 5.2165, 5.338900000000001, 5.4584, 5.5684000000000005, 5.940300000000001, 6.0739, 6.2114]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.21715299377919606,0.15526129772012104,0.627585708500689,[[0.89269765 2.60494156]]
16,0,0.0,0,1,0,,0.0,1.0,1.0,1.0,1,137.334128,147.955118,10.620990000000006,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.6115,0.1223999999999998,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.7084, 4.9776, 5.0772, 5.198300000000001, 5.317, 5.4267, 5.5587]","[4.742100000000001, 5.0097000000000005, 5.1206000000000005, 5.248600000000001, 5.3586, 5.4796000000000005, 5.6052]","[4.6115, 4.8276]","[4.617100000000001, 4.853800000000001]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.12383707354564816,0.1402362879660029,0.735926638488352,[[0.89269765 2.60494156]]
17,0,0.0,1,0,0,,1.0,0.0,0.0,0.0,1,147.973728,156.566218,8.592489999999998,3.3181000000000003,4.3276,1.0095,4.4891000000000005,4.581,0.0918999999999998,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,"[4.581, 4.5845, 4.6891, 4.7864, 4.905200000000001, 5.0214, 5.1332, 5.2518, 5.3695, 5.4910000000000005, 5.6238, 5.7678]","[4.5812, 4.619800000000001, 4.7208000000000006, 4.8324, 4.950200000000001, 5.0615000000000006, 5.1694, 5.295, 5.4139, 5.538200000000001, 5.6638, 5.7948]",[],[],0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.1236849071019567,0.1505495715426739,0.7257655213553639,[[0.89269765 2.60494156]]
18,1,0.0,1,0,0,,1.0,1.0,1.0,0.0,1,156.636528,165.18501799999999,8.548490000000013,3.3206,4.3301,1.0094999999999996,4.49,4.5386000000000015,0.0486000000000004,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[],[],"[4.538600000000001, 4.5394000000000005, 4.6437, 4.736000000000001, 4.8352, 4.9429, 5.0491, 5.1622, 5.2828, 5.4058, 5.546]","[4.5388, 4.5823, 4.6795, 4.7767, 4.8788, 4.9846, 5.1004000000000005, 5.2198, 5.3426, 5.4691, 5.5934]",0.0115,0.0099,20,1,0.5,2.0,0.5,4,4,1,0,0,1,1,0,0,0.05,,,,,,,,,/dev/ttyACM38,stage_training_v2,Alexis,pv_nmdar_eranet,2AFC_2,Bpod8,332,36001,332,1.6.2,332_stage_training_v2_20220215-095045,2022-02-15,09:50:56.691229,10:38:16.847136,2,right bias,0.11047430870992259,0.13369226606544657,0.7558334252246272,[[0.89269765 2.60494156]]
