Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,329,['Bpod5'],299,139,160,96,43,53,25,29,72,31,41,0.3210702341137124,0.30935251798561153,0.33125,168,74,94,76,91,0.5714285714285714,0.581081081081081,0.5638297872340425,0.32894736842105265,0.31868131868131866,131,65,66,0.43812709030100333,0.4676258992805755,0.4125,145,68,77,362.5,170.0,192.5,1.0,0,0,0
2022-01-18,1,329,['Bpod5'],670,318,352,358,125,233,147,152,199,143,56,0.5343283582089552,0.39308176100628933,0.6619318181818182,557,268,289,280,276,0.6427289048473968,0.4664179104477612,0.8062283737024222,0.525,0.5507246376811594,113,50,63,0.16865671641791044,0.15723270440251572,0.17897727272727273,514,246,268,1285.0,615.0,670.0,1.0,0,0,0
2022-01-20,3,329,['Bpod5'],643,319,324,406,143,263,187,194,192,141,51,0.6314152410575428,0.4482758620689655,0.8117283950617284,598,284,314,276,321,0.6789297658862876,0.5035211267605634,0.8375796178343949,0.677536231884058,0.6043613707165109,45,35,10,0.06998444790046657,0.109717868338558,0.030864197530864196,567,263,304,1417.5,657.5,760.0,1.0,0,0,0
2022-01-21,4,329,['Bpod5'],773,404,369,622,322,300,305,315,144,79,65,0.8046571798188874,0.7970297029702971,0.8130081300813008,767,402,365,367,399,0.8109517601043025,0.8009950248756219,0.821917808219178,0.8310626702997275,0.7894736842105263,6,2,4,0.007761966364812419,0.0049504950495049506,0.01084010840108401,735,385,350,1837.5,962.5,875.0,1.0,0,0,0
2022-01-24,0,329,['Bpod5'],739,354,385,591,228,363,317,274,148,126,22,0.7997293640054127,0.6440677966101694,0.9428571428571428,739,354,385,370,368,0.7997293640054127,0.6440677966101694,0.9428571428571428,0.8567567567567568,0.7445652173913043,0,0,0,0.0,0.0,0.0,607,241,366,1517.5,602.5,915.0,1.0,0,0,0
2022-01-25,1,329,['Bpod5'],690,363,327,552,308,244,287,261,129,49,80,0.8,0.8484848484848485,0.746177370030581,681,357,324,328,352,0.8105726872246696,0.8627450980392157,0.7530864197530864,0.875,0.7414772727272727,9,6,3,0.013043478260869565,0.01652892561983471,0.009174311926605505,557,311,246,1392.5,777.5,615.0,1.0,0,0,0
2022-01-26,2,329,['Bpod5'],802,369,433,668,242,426,384,278,120,118,2,0.8329177057356608,0.6558265582655827,0.9838337182448037,788,360,428,411,376,0.8477157360406091,0.6722222222222223,0.9953271028037384,0.9343065693430657,0.7393617021276596,14,9,5,0.017456359102244388,0.024390243902439025,0.011547344110854504,668,242,426,1670.0,605.0,1065.0,2.0,0,0,0
2022-01-27,3,329,['Bpod5'],709,370,339,586,291,295,277,254,54,31,23,0.8265162200282088,0.7864864864864864,0.8702064896755162,640,322,318,294,346,0.915625,0.9037267080745341,0.9276729559748428,0.9421768707482994,0.7341040462427746,69,48,21,0.09732016925246827,0.12972972972972974,0.061946902654867256,586,291,295,1465.0,727.5,737.5,2.0,0,0,0
2022-01-28,4,329,['Bpod5'],642,328,314,437,159,278,245,108,52,33,19,0.6806853582554517,0.4847560975609756,0.8853503184713376,489,192,297,261,226,0.8936605316973415,0.828125,0.936026936026936,0.9386973180076629,0.4778761061946903,153,136,17,0.2383177570093458,0.4146341463414634,0.054140127388535034,437,159,278,1092.5,397.5,695.0,3.0,0,1,0
2022-01-31,0,329,['Bpod5'],733,367,366,615,333,282,322,284,99,20,79,0.8390177353342428,0.9073569482288828,0.7704918032786885,714,353,361,360,354,0.8613445378151261,0.943342776203966,0.7811634349030471,0.8944444444444445,0.8022598870056498,19,14,5,0.02592087312414734,0.03814713896457766,0.01366120218579235,615,333,282,1537.5,832.5,705.0,3.0,0,0,0
