Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,328,['Bpod6'],348,183,165,65,44,21,16,10,44,11,33,0.1867816091954023,0.24043715846994534,0.12727272727272726,109,55,54,45,63,0.5963302752293578,0.8,0.3888888888888889,0.35555555555555557,0.15873015873015872,239,128,111,0.6867816091954023,0.6994535519125683,0.6727272727272727,74,51,23,185.0,127.5,57.5,1,0,0,0
2022-01-18,1,328,['Bpod8'],720,366,354,175,21,154,82,7,118,85,33,0.24305555555555555,0.05737704918032787,0.4350282485875706,293,106,187,133,159,0.5972696245733788,0.19811320754716982,0.8235294117647058,0.6165413533834586,0.0440251572327044,427,260,167,0.5930555555555556,0.7103825136612022,0.4717514124293785,199,32,167,497.5,80.0,417.5,1,0,0,0
2022-01-21,4,328,['Bpod8'],587,277,310,306,69,237,161,86,166,118,48,0.5212947189097104,0.2490974729241877,0.7645161290322581,472,187,285,259,213,0.6483050847457628,0.3689839572192513,0.8315789473684211,0.6216216216216216,0.40375586854460094,115,90,25,0.19591141396933562,0.3249097472924188,0.08064516129032258,408,132,276,1020.0,330.0,690.0,1,0,0,0
2022-01-24,0,328,['Bpod8'],363,172,191,169,8,161,119,8,66,65,1,0.465564738292011,0.046511627906976744,0.8429319371727748,235,73,162,127,108,0.7191489361702128,0.1095890410958904,0.9938271604938271,0.937007874015748,0.07407407407407407,128,99,29,0.3526170798898072,0.5755813953488372,0.1518324607329843,171,9,162,427.5,22.5,405.0,1,0,0,0
2022-01-25,1,328,['Bpod8'],684,313,371,390,25,365,276,33,149,144,5,0.5701754385964912,0.07987220447284345,0.9838274932614556,539,169,370,285,254,0.7235621521335807,0.14792899408284024,0.9864864864864865,0.968421052631579,0.12992125984251968,145,144,1,0.21198830409356725,0.46006389776357826,0.0026954177897574125,398,30,368,995.0,75.0,920.0,1,0,0,0
2022-01-26,2,328,['Bpod8'],358,157,201,218,24,194,146,28,69,62,7,0.6089385474860335,0.15286624203821655,0.9651741293532339,287,86,201,157,129,0.759581881533101,0.27906976744186046,0.9651741293532339,0.9299363057324841,0.21705426356589147,71,71,0,0.19832402234636873,0.45222929936305734,0.0,221,26,195,552.5,65.0,487.5,1,0,0,0
2022-01-27,3,328,['Bpod8'],669,355,314,416,200,216,205,138,113,15,98,0.6218236173393124,0.5633802816901409,0.6878980891719745,529,215,314,274,255,0.7863894139886578,0.9302325581395349,0.6878980891719745,0.7481751824817519,0.5411764705882353,140,140,0,0.20926756352765322,0.39436619718309857,0.0,419,200,219,1047.5,500.0,547.5,1,0,0,0
2022-01-28,4,328,['Bpod8'],186,72,114,108,13,95,68,8,9,7,2,0.5806451612903226,0.18055555555555555,0.8333333333333334,117,20,97,76,40,0.9230769230769231,0.65,0.979381443298969,0.8947368421052632,0.2,69,52,17,0.3709677419354839,0.7222222222222222,0.14912280701754385,110,14,96,275.0,35.0,240.0,1,0,0,0
2022-01-31,0,328,['Bpod8'],480,244,236,164,76,88,66,33,91,37,54,0.3416666666666667,0.3114754098360656,0.3728813559322034,255,113,142,129,125,0.6431372549019608,0.672566371681416,0.6197183098591549,0.5116279069767442,0.264,225,131,94,0.46875,0.5368852459016393,0.3983050847457627,169,78,91,422.5,195.0,227.5,1,0,0,0
2022-02-01,1,328,['Bpod8'],524,248,276,202,89,113,95,57,81,49,32,0.38549618320610685,0.3588709677419355,0.40942028985507245,283,138,145,142,141,0.7137809187279152,0.644927536231884,0.7793103448275862,0.6690140845070423,0.40425531914893614,241,110,131,0.4599236641221374,0.4435483870967742,0.4746376811594203,206,91,115,515.0,227.5,287.5,1,0,0,0
