Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccMaxEvi,LateralBias,AccuracyRep,AccuracyAlt,RepBias,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,332,['Bpod8'],389,185,204,111,27,84,42,34,115,83,32,0.2853470437017995,0.14594594594594595,0.4117647058823529,226,110,116,111,114,0.4911504424778761,0.24545454545454545,0.7241379310344828,0.4911504424778761,0.4786833855799373,0.3783783783783784,0.2982456140350877,0.0801327643432907,163,75,88,0.4190231362467866,0.40540540540540543,0.43137254901960786,182,80,102,455.0,200.0,255.0,1,0,0,0
2022-01-18,1,332,['Bpod8'],515,257,258,259,153,106,133,119,227,92,135,0.5029126213592233,0.5953307392996109,0.4108527131782946,486,245,241,250,236,0.5329218106995884,0.6244897959183674,0.43983402489626555,0.5329218106995884,-0.18465577102210184,0.532,0.5042372881355932,0.02776271186440682,29,12,17,0.05631067961165048,0.04669260700389105,0.06589147286821706,443,229,214,1107.5,572.5,535.0,1,0,0,0
2022-01-20,3,332,['Bpod8'],484,238,246,268,100,168,118,147,213,135,78,0.5537190082644629,0.42016806722689076,0.6829268292682927,481,235,246,217,263,0.5571725571725572,0.425531914893617,0.6829268292682927,0.5571725571725572,0.2573949143746757,0.543778801843318,0.55893536121673,-0.015156559373412093,3,3,0,0.006198347107438017,0.012605042016806723,0.0,449,213,236,1122.5,532.5,590.0,1,0,0,0
2022-01-21,4,332,['Bpod8'],426,202,224,222,168,54,148,55,144,17,127,0.5211267605633803,0.8316831683168316,0.24107142857142858,366,185,181,184,181,0.6065573770491803,0.9081081081081082,0.2983425414364641,0.6065573770491803,-0.609765566671644,0.8043478260869565,0.30386740331491713,0.5004804227720394,60,17,43,0.14084507042253522,0.08415841584158416,0.19196428571428573,265,183,82,662.5,457.5,205.0,1,0,0,0
2022-01-24,0,332,['Bpod8'],490,251,239,287,122,165,168,110,187,123,64,0.5857142857142857,0.4860557768924303,0.6903765690376569,474,245,229,260,214,0.6054852320675106,0.49795918367346936,0.7205240174672489,0.6054852320675106,0.22256483379377956,0.6461538461538462,0.514018691588785,0.1321351545650612,16,6,10,0.0326530612244898,0.02390438247011952,0.04184100418410042,355,166,189,887.5,415.0,472.5,1,0,0,0
2022-01-25,1,332,['Bpod8'],563,275,288,353,172,181,198,151,187,95,92,0.6269982238010657,0.6254545454545455,0.6284722222222222,540,267,273,268,271,0.6537037037037037,0.6441947565543071,0.663003663003663,0.6537037037037037,0.018808906449355844,0.7388059701492538,0.5571955719557196,0.1816103981935342,23,8,15,0.04085257548845471,0.02909090909090909,0.052083333333333336,364,177,187,910.0,442.5,467.5,1,0,0,0
2022-01-26,2,332,['Bpod8'],587,339,248,401,307,94,292,106,177,30,147,0.6831345826235093,0.9056047197640118,0.3790322580645161,578,337,241,323,255,0.6937716262975778,0.9109792284866469,0.3900414937759336,0.6937716262975778,-0.5209377347107134,0.9040247678018576,0.41568627450980394,0.48833849329205364,9,2,7,0.015332197614991482,0.0058997050147492625,0.028225806451612902,406,309,97,1015.0,772.5,242.5,1,0,0,0
2022-01-27,3,332,['Bpod8'],485,236,249,374,192,182,211,156,100,40,60,0.7711340206185567,0.8135593220338984,0.7309236947791165,474,232,242,234,240,0.7890295358649789,0.8275862068965517,0.7520661157024794,0.7890295358649789,-0.07552009119407233,0.9017094017094017,0.65,0.2517094017094017,11,4,7,0.02268041237113402,0.01694915254237288,0.028112449799196786,376,192,184,940.0,480.0,460.0,1,0,0,0
2022-01-28,4,332,['Bpod8'],762,335,427,591,181,410,376,209,162,153,9,0.7755905511811023,0.5402985074626866,0.9601873536299765,753,334,419,405,347,0.7848605577689243,0.5419161676646707,0.9785202863961814,0.7848605577689243,0.4366041187315107,0.928395061728395,0.6023054755043228,0.32608958622407225,9,1,8,0.011811023622047244,0.0029850746268656717,0.01873536299765808,597,187,410,1492.5,467.5,1025.0,1,0,0,0
2022-01-31,0,332,['Bpod8'],506,230,276,443,207,236,244,192,52,17,35,0.8754940711462451,0.9,0.855072463768116,495,224,271,252,243,0.8949494949494949,0.9241071428571429,0.8708487084870848,0.8949494949494949,-0.05325843437005806,0.9682539682539683,0.7901234567901234,0.17813051146384484,11,6,5,0.021739130434782608,0.02608695652173913,0.018115942028985508,443,207,236,1107.5,517.5,590.0,1,0,0,0
2022-02-01,1,332,['Bpod8'],558,264,294,475,255,220,279,187,67,7,60,0.8512544802867383,0.9659090909090909,0.7482993197278912,542,262,280,286,256,0.8763837638376384,0.9732824427480916,0.7857142857142857,0.8763837638376384,-0.18756815703380592,0.9755244755244755,0.73046875,0.24505572552447552,16,2,14,0.02867383512544803,0.007575757575757576,0.047619047619047616,475,255,220,1187.5,637.5,550.0,2,0,0,0
2022-02-02,2,332,['Bpod8'],642,305,337,566,238,328,300,253,57,53,4,0.881619937694704,0.780327868852459,0.973293768545994,623,291,332,308,315,0.9085072231139647,0.8178694158075601,0.9879518072289156,0.9085072231139647,0.1700823914213555,0.974025974025974,0.8031746031746032,0.1708513708513708,19,14,5,0.029595015576323987,0.04590163934426229,0.01483679525222552,566,238,328,1415.0,595.0,820.0,2,0,0,0
2022-02-03,3,332,['Bpod8'],784,367,417,751,345,406,386,359,19,13,6,0.9579081632653061,0.9400544959128065,0.973621103117506,770,358,412,391,379,0.9753246753246754,0.9636871508379888,0.9854368932038835,0.9753246753246754,0.021749742365894664,0.9872122762148338,0.9472295514511874,0.03998272476364639,14,9,5,0.017857142857142856,0.02452316076294278,0.011990407673860911,751,345,406,1877.5,862.5,1015.0,2,0,0,0
2022-02-04,4,332,['Bpod8'],492,241,251,468,232,236,247,216,13,4,9,0.9512195121951219,0.9626556016597511,0.9402390438247012,481,236,245,255,226,0.972972972972973,0.9830508474576272,0.963265306122449,0.972972972972973,-0.01978554133517818,0.9686274509803922,0.9557522123893806,0.012875238591011584,11,5,6,0.022357723577235773,0.02074688796680498,0.02390438247011952,468,232,236,1170.0,580.0,590.0,3,0,0,0
2022-02-07,0,332,['Bpod8'],344,170,174,296,148,148,156,140,39,18,21,0.8604651162790697,0.8705882352941177,0.8505747126436781,335,166,169,162,173,0.8835820895522388,0.891566265060241,0.8757396449704142,0.8835820895522388,-0.015826620089826715,0.9629629629629629,0.8092485549132948,0.15371440804966807,9,4,5,0.02616279069767442,0.023529411764705882,0.028735632183908046,296,148,148,740.0,370.0,370.0,3,0,0,0
