Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,334,['Bpod6'],430,211,219,84,43,41,25,11,41,22,19,0.19534883720930232,0.2037914691943128,0.1872146118721461,125,65,60,64,60,0.672,0.6615384615384615,0.6833333333333333,0.390625,0.18333333333333332,305,146,159,0.7093023255813954,0.6919431279620853,0.726027397260274,104,54,50,260.0,135.0,125.0,1.0,0,0,0
2022-01-18,1,334,['Bpod6'],480,227,253,86,34,52,18,9,64,40,24,0.17916666666666667,0.14977973568281938,0.20553359683794467,150,74,76,70,80,0.5733333333333334,0.4594594594594595,0.6842105263157895,0.2571428571428571,0.1125,330,153,177,0.6875,0.6740088105726872,0.6996047430830039,105,40,65,262.5,100.0,162.5,1.0,0,0,0
2022-01-20,3,334,['Bpod6'],449,218,231,166,81,85,69,51,123,57,66,0.36971046770601335,0.37155963302752293,0.36796536796536794,289,138,151,148,140,0.5743944636678201,0.5869565217391305,0.5629139072847682,0.46621621621621623,0.36428571428571427,160,80,80,0.35634743875278396,0.3669724770642202,0.3463203463203463,272,128,144,680.0,320.0,360.0,1.0,0,0,0
2022-01-21,4,334,['Bpod6'],582,299,283,324,228,96,150,148,199,47,152,0.5567010309278351,0.7625418060200669,0.3392226148409894,523,275,248,239,284,0.6195028680688337,0.8290909090909091,0.3870967741935484,0.6276150627615062,0.5211267605633803,59,24,35,0.1013745704467354,0.0802675585284281,0.12367491166077739,495,268,227,1237.5,670.0,567.5,1.0,0,0,0
2022-01-24,0,334,['Bpod6'],708,348,360,434,226,208,207,216,246,111,135,0.6129943502824858,0.6494252873563219,0.5777777777777777,680,337,343,320,360,0.638235294117647,0.6706231454005934,0.6064139941690962,0.646875,0.6,28,11,17,0.03954802259887006,0.031609195402298854,0.04722222222222222,513,255,258,1282.5,637.5,645.0,1.0,0,0,0
2022-01-25,1,334,['Bpod6'],310,168,142,193,97,96,92,83,44,34,10,0.6225806451612903,0.5773809523809523,0.676056338028169,237,131,106,108,129,0.8143459915611815,0.7404580152671756,0.9056603773584906,0.8518518518518519,0.6434108527131783,73,37,36,0.23548387096774193,0.22023809523809523,0.2535211267605634,193,97,96,482.5,242.5,240.0,1.0,0,0,0
2022-01-26,2,334,['Bpod6'],313,151,162,248,137,111,142,100,52,12,40,0.792332268370607,0.9072847682119205,0.6851851851851852,300,149,151,158,141,0.8266666666666667,0.9194630872483222,0.7350993377483444,0.8987341772151899,0.7092198581560284,13,2,11,0.04153354632587859,0.013245033112582781,0.06790123456790123,249,137,112,622.5,342.5,280.0,1.0,0,0,0
2022-01-27,3,334,['Bpod6'],529,248,281,398,146,252,258,128,111,94,17,0.7523629489603024,0.5887096774193549,0.896797153024911,509,240,269,276,233,0.7819253438113949,0.6083333333333333,0.9368029739776952,0.9347826086956522,0.5493562231759657,20,8,12,0.03780718336483932,0.03225806451612903,0.042704626334519574,402,149,253,1005.0,372.5,632.5,1.0,0,0,0
2022-01-28,4,334,['Bpod6'],400,169,231,299,75,224,199,85,79,78,1,0.7475,0.4437869822485207,0.9696969696969697,378,153,225,208,169,0.791005291005291,0.49019607843137253,0.9955555555555555,0.9567307692307693,0.5029585798816568,22,16,6,0.055,0.09467455621301775,0.025974025974025976,300,76,224,750.0,190.0,560.0,1.0,0,0,0
2022-01-31,0,334,['Bpod6'],417,215,202,304,152,152,203,95,97,53,44,0.7290167865707434,0.7069767441860465,0.7524752475247525,401,205,196,216,184,0.7581047381546134,0.7414634146341463,0.7755102040816326,0.9398148148148148,0.5163043478260869,16,10,6,0.03836930455635491,0.046511627906976744,0.0297029702970297,306,154,152,765.0,385.0,380.0,1.0,0,0,0
2022-02-01,1,334,['Bpod6'],637,333,304,497,284,213,294,197,125,45,80,0.7802197802197802,0.8528528528528528,0.7006578947368421,622,329,293,315,307,0.7990353697749196,0.8632218844984803,0.726962457337884,0.9333333333333333,0.6416938110749185,15,4,11,0.023547880690737835,0.012012012012012012,0.03618421052631579,500,284,216,1250.0,710.0,540.0,1.0,0,0,0
2022-02-02,2,334,['Bpod6'],538,275,263,431,221,210,254,169,91,45,46,0.8011152416356877,0.8036363636363636,0.7984790874524715,522,266,256,280,242,0.8256704980842912,0.8308270676691729,0.8203125,0.9071428571428571,0.6983471074380165,16,9,7,0.02973977695167286,0.03272727272727273,0.026615969581749048,431,221,210,1077.5,552.5,525.0,2.0,0,0,0
2022-02-03,3,334,['Bpod6'],480,242,238,410,187,223,206,202,61,50,11,0.8541666666666666,0.7727272727272727,0.9369747899159664,471,237,234,222,249,0.8704883227176221,0.7890295358649789,0.9529914529914529,0.9279279279279279,0.8112449799196787,9,5,4,0.01875,0.02066115702479339,0.01680672268907563,410,187,223,1025.0,467.5,557.5,2.0,0,0,0
2022-02-04,4,334,['Bpod6'],357,181,176,305,133,172,163,141,52,48,4,0.8543417366946778,0.7348066298342542,0.9772727272727273,357,181,176,166,190,0.8543417366946778,0.7348066298342542,0.9772727272727273,0.9819277108433735,0.7421052631578947,0,0,0,0.0,0.0,0.0,305,133,172,762.5,332.5,430.0,2.0,0,0,0
2022-02-07,0,334,['Bpod6'],550,257,293,381,150,231,219,149,136,95,41,0.6927272727272727,0.5836575875486382,0.78839590443686,517,245,272,263,253,0.7369439071566731,0.6122448979591837,0.8492647058823529,0.8326996197718631,0.5889328063241107,33,12,21,0.06,0.04669260700389105,0.07167235494880546,381,150,231,952.5,375.0,577.5,2.0,0,0,0
2022-02-09,2,334,['Bpod6'],658,318,340,470,214,256,273,193,177,100,77,0.7142857142857143,0.6729559748427673,0.7529411764705882,647,314,333,320,327,0.7264296754250387,0.6815286624203821,0.7687687687687688,0.853125,0.5902140672782875,11,4,7,0.016717325227963525,0.012578616352201259,0.020588235294117647,470,214,256,1175.0,535.0,640.0,2.0,0,0,0
2022-02-10,3,334,['Bpod6'],503,237,266,398,185,213,248,144,94,47,47,0.7912524850894632,0.7805907172995781,0.8007518796992481,492,232,260,269,222,0.8089430894308943,0.7974137931034483,0.8192307692307692,0.9219330855018587,0.6486486486486487,11,5,6,0.02186878727634195,0.02109704641350211,0.022556390977443608,398,185,213,995.0,462.5,532.5,2.0,0,0,0
2022-02-11,4,334,['Bpod6'],477,252,225,397,229,168,204,179,55,19,36,0.8322851153039832,0.9087301587301587,0.7466666666666667,452,248,204,226,226,0.8783185840707964,0.9233870967741935,0.8235294117647058,0.9026548672566371,0.7920353982300885,25,4,21,0.05241090146750524,0.015873015873015872,0.09333333333333334,397,229,168,992.5,572.5,420.0,3.0,0,0,0
2022-02-14,0,334,['Bpod6'],459,232,227,324,164,160,208,113,129,64,65,0.7058823529411765,0.7068965517241379,0.7048458149779736,453,228,225,231,219,0.7152317880794702,0.7192982456140351,0.7111111111111111,0.9004329004329005,0.5159817351598174,6,4,2,0.013071895424836602,0.017241379310344827,0.00881057268722467,324,164,160,810.0,410.0,400.0,3.0,0,0,0
2022-02-15,1,334,['Bpod6'],456,227,229,314,172,142,186,125,140,53,87,0.6885964912280702,0.7577092511013216,0.6200873362445415,454,225,229,220,233,0.6916299559471366,0.7644444444444445,0.6200873362445415,0.8454545454545455,0.5364806866952789,2,2,0,0.0043859649122807015,0.00881057268722467,0.0,314,172,142,785.0,430.0,355.0,3.0,0,0,0
2022-02-16,2,334,['Bpod6'],618,322,296,452,248,204,279,169,159,69,90,0.7313915857605178,0.7701863354037267,0.6891891891891891,611,317,294,312,297,0.7397708674304418,0.7823343848580442,0.6938775510204082,0.8942307692307693,0.569023569023569,7,5,2,0.011326860841423949,0.015527950310559006,0.006756756756756757,452,248,204,1130.0,620.0,510.0,3.0,0,0,0
2022-02-21,0,334,['Bpod6'],401,218,183,256,125,131,137,118,145,93,52,0.6384039900249376,0.573394495412844,0.7158469945355191,401,218,183,191,208,0.6384039900249376,0.573394495412844,0.7158469945355191,0.7172774869109948,0.5673076923076923,0,0,0,0.0,0.0,0.0,256,125,131,640.0,312.5,327.5,3.0,0,0,0
2022-02-22,1,334,['Bpod6'],588,291,297,432,196,236,251,177,152,93,59,0.7346938775510204,0.6735395189003437,0.7946127946127947,584,289,295,290,292,0.7397260273972602,0.6782006920415224,0.8,0.8655172413793103,0.6061643835616438,4,2,2,0.006802721088435374,0.006872852233676976,0.006734006734006734,432,196,236,1080.0,490.0,590.0,3.0,0,0,0
