Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-01-17,0,330,['Bpod6'],803,424,379,354,201,153,155,123,256,116,140,0.44084682440846823,0.4740566037735849,0.40369393139841686,610,317,293,301,309,0.580327868852459,0.6340694006309149,0.5221843003412969,0.5149501661129569,0.39805825242718446,193,107,86,0.2403486924034869,0.25235849056603776,0.22691292875989447,533,304,229,1332.5,760.0,572.5,1,0,0,0
2022-01-18,1,330,['Bpod6'],779,391,388,476,309,167,245,211,249,52,197,0.6110397946084724,0.7902813299232737,0.43041237113402064,725,361,364,347,376,0.6565517241379311,0.8559556786703602,0.45879120879120877,0.7060518731988472,0.5611702127659575,54,30,24,0.0693196405648267,0.07672634271099744,0.061855670103092786,659,350,309,1647.5,875.0,772.5,1,0,0,0
2022-01-20,3,330,['Bpod6'],264,125,139,152,50,102,71,51,54,35,19,0.5757575757575758,0.4,0.7338129496402878,206,85,121,100,105,0.7378640776699029,0.5882352941176471,0.8429752066115702,0.71,0.4857142857142857,58,40,18,0.2196969696969697,0.32,0.12949640287769784,198,81,117,495.0,202.5,292.5,1,0,0,0
2022-01-21,4,330,['Bpod6'],318,156,162,216,81,135,109,92,66,44,22,0.6792452830188679,0.5192307692307693,0.8333333333333334,282,125,157,135,146,0.7659574468085106,0.648,0.8598726114649682,0.8074074074074075,0.6301369863013698,36,31,5,0.11320754716981132,0.1987179487179487,0.030864197530864196,270,117,153,675.0,292.5,382.5,1,0,0,0
2022-01-24,0,330,['Bpod6'],651,326,325,527,260,267,293,227,113,57,56,0.8095238095238095,0.7975460122699386,0.8215384615384616,640,317,323,341,299,0.8234375,0.8201892744479495,0.826625386996904,0.8592375366568915,0.7591973244147158,11,9,2,0.016897081413210446,0.027607361963190184,0.006153846153846154,544,265,279,1360.0,662.5,697.5,1,0,0,0
2022-01-25,1,330,['Bpod6'],466,247,219,353,161,192,182,152,60,53,7,0.7575107296137339,0.6518218623481782,0.8767123287671232,413,214,199,196,215,0.8547215496368039,0.7523364485981309,0.964824120603015,0.9285714285714286,0.7069767441860465,53,33,20,0.11373390557939914,0.13360323886639677,0.091324200913242,356,163,193,890.0,407.5,482.5,1,0,0,0
2022-01-26,2,330,['Bpod6'],641,342,299,570,298,272,300,263,55,31,24,0.8892355694227769,0.8713450292397661,0.9096989966555183,625,329,296,317,308,0.912,0.9057750759878419,0.918918918918919,0.9463722397476341,0.8538961038961039,16,13,3,0.0249609984399376,0.038011695906432746,0.010033444816053512,570,298,272,1425.0,745.0,680.0,2,0,0,0
2022-01-27,3,330,['Bpod6'],358,168,190,323,139,184,163,152,22,17,5,0.9022346368715084,0.8273809523809523,0.968421052631579,345,156,189,164,181,0.936231884057971,0.8910256410256411,0.9735449735449735,0.9939024390243902,0.8397790055248618,13,12,1,0.036312849162011177,0.07142857142857142,0.005263157894736842,323,139,184,807.5,347.5,460.0,2,0,0,0
2022-01-28,4,330,['Bpod6'],684,352,332,554,261,293,266,259,2,0,2,0.8099415204678363,0.7414772727272727,0.8825301204819277,556,261,295,281,274,0.9964028776978417,1.0,0.9932203389830508,0.9466192170818505,0.9452554744525548,128,91,37,0.1871345029239766,0.2585227272727273,0.11144578313253012,554,261,293,1385.0,652.5,732.5,2,0,0,0
2022-01-31,0,330,['Bpod6'],612,306,306,536,262,274,274,247,54,24,30,0.8758169934640523,0.8562091503267973,0.8954248366013072,590,286,304,292,298,0.9084745762711864,0.916083916083916,0.9013157894736842,0.9383561643835616,0.8288590604026845,22,20,2,0.03594771241830065,0.06535947712418301,0.006535947712418301,536,262,274,1340.0,655.0,685.0,3,0,0,0
