Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,1,,0,1,0,0,0.0,,0.0,,1,0.343031,7.407935,7.064904,2.8206,4.0648,1.2441999999999998,3.8302,4.0647,0.23450000000000015,iaa,iaa,1,nan,0,0,1,1,70.0,,[4.0647],[4.1338],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
1,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,7.437631,14.625735,7.188104000000001,2.8206,4.1880000000000015,1.3674000000000013,3.8302,4.1879,0.3576999999999999,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,"[4.1879, 4.3998]","[4.2464, 4.4525000000000015]",[4.2191],[4.2404],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
2,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,14.647931,21.954535,7.306604,2.8206,4.3065,1.4858999999999996,3.8302,4.3064,0.47619999999999996,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,[4.3064],[4.3731],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
3,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,21.975731,29.411534999999997,7.435804000000001,2.8206,4.4357000000000015,1.6151000000000013,3.8302,4.4356,0.6053999999999999,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,"[4.4356, 4.7059000000000015]","[4.5123000000000015, 4.7114]","[4.4663, 4.7142]","[4.5051000000000005, 4.7454]",0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
4,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,29.434931,36.708935,7.274003999999998,2.8206,4.2739,1.4533,3.8302,4.2738000000000005,0.44360000000000044,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,[4.2738000000000005],[4.3513],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
5,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,36.735531,44.024935,7.2894039999999976,2.8206,4.2893,1.4686999999999997,3.8302,4.2892,0.4590000000000001,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,[4.2892],[4.3768],"[4.3671000000000015, 4.5151]","[4.3717000000000015, 4.5848]",0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
6,1,0.0,0,0,1,0,,0.0,,,0,44.045131,49.875535,5.8304040000000015,2.8206,4.8303,2.0097,3.8302,4.8302000000000005,1.0000000000000004,iaa,iaa,1,nan,0,0,1,1,70.0,-70.0,[],[],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
7,1,,0,0,1,0,,,,,0,49.914031,55.744434999999996,5.8304040000000015,2.8206,4.8303,2.0097,3.8302,4.8302000000000005,1.0000000000000004,iaa,iaa,1,nan,0,0,1,1,70.0,,[],[],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
8,1,,0,0,1,0,,,,,0,55.76523100000001,61.595634999999994,5.8304040000000015,2.8206,4.8303,2.0097,3.8302,4.8302000000000005,1.0000000000000004,iaa,iaa,1,nan,0,0,1,1,70.0,,[],[],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
9,1,,0,0,1,0,,,,,0,61.61243100000001,67.442835,5.8304040000000015,2.8206,4.8303,2.0097,3.8302,4.8302000000000005,1.0000000000000004,iaa,iaa,1,nan,0,0,1,1,70.0,,[],[],[],[],0.0096,0.0095,0,0,0.5,2.0,0.0,0,0,1,0,0,1,1,0,0,0.0,0.5,LR,20.0,FD,,1.0,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod0,stage_training_v4,Alexis,pv_nmdar_eranet,Ephys,Bpod0,909,36000,909,1.6.2,909_stage_training_v4_20230822-115311,2023-08-22,11:53:23.174778,12:52:00.005236
