Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,Wait,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd
0,1,,0,0,1,0,,,,,0,1800.417532,1806.247835,5.830302999999957,2.8206,4.8302000000000005,2.0096000000000003,3.8301,4.8301,0.9999999999999996,iaa,iaa,1,,0,0,1,1,70.0,,[],[],[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
1,1,,0,1,0,0,0.0,,0.0,,1,1806.259831,1813.549335,7.2895039999998525,2.8206,4.2894000000000005,1.4688000000000003,3.8301,4.2893,0.4591999999999996,iaa,iaa,1,,0,0,1,1,70.0,,[4.2893],[4.3283000000000005],[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
2,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,1813.581831,1820.830835,7.249004000000013,2.8206,4.2489,1.4282999999999997,3.8301,4.2488,0.4186999999999999,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[4.2488],[4.2867000000000015],[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
3,1,0.0,0,1,0,0,0.0,0.0,0.0,1.0,1,1820.841131,1828.102535,7.261404000000083,2.8206,4.2613,1.4407,3.8301,4.2612000000000005,0.43110000000000026,iaa,iaa,1,,0,0,1,1,70.0,-70.0,[4.2612000000000005],[4.2961],[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
4,0,1.0,1,0,0,0,1.0,0.0,0.0,1.0,1,1828.114231,1833.279835,5.16560400000003,2.8181000000000003,3.3276000000000003,0.5095000000000001,3.8276,4.1566,0.3289999999999997,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.1566, 4.2421, 4.3644, 4.4858]","[4.1948, 4.284, 4.4082, 4.5325000000000015]",[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
5,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,1833.291231,1838.406235,5.115003999999999,2.8181000000000003,3.3276000000000003,0.5095000000000001,3.8276,4.106,0.27839999999999954,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[4.106, 4.2164, 4.3273, 4.4545, 4.5849, 4.7325, 4.8663]","[4.1467, 4.2576, 4.376, 4.5018, 4.6289, 4.7659, 4.9007000000000005]",[],[],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
6,0,1.0,0,1,0,0,0.0,1.0,1.0,0.0,1,1838.417231,1845.515935,7.098703999999998,2.8181000000000003,4.0986,1.2805,3.8276,4.0985000000000005,0.2709000000000001,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[4.2409],[4.2942],"[4.0985000000000005, 4.3871, 4.5191]","[4.1619, 4.4459, 4.5774]",0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
7,0,0.0,0,1,0,0,0.0,0.0,1.0,1.0,1,1845.528631,1852.633535,7.104904000000032,2.8181000000000003,4.1048,1.2866999999999995,3.8276,4.1047,0.2770999999999999,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[4.2715000000000005],[4.296],[4.1047],[4.1481],0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
8,1,1.0,1,0,0,0,1.0,0.0,1.0,1.0,1,1852.646431,1857.732735,5.086304000000156,2.8206,3.3301000000000003,0.5095000000000001,3.8301,4.0773,0.24719999999999984,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.0773, 4.1814, 4.2749000000000015, 4.3917]","[4.1179000000000014, 4.2186, 4.3266, 4.4404]",0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
9,1,1.0,1,0,0,0,1.0,1.0,1.0,1.0,1,1857.747731,1862.859935,5.11220400000002,2.8206,3.3301000000000003,0.5095000000000001,3.8301,4.1032,0.2730999999999999,iaa,iaa,1,,0,0,1,1,70.0,70.0,[],[],"[4.1032, 4.1978, 4.2928000000000015, 4.4105, 4.5363, 4.6735000000000015]","[4.1404000000000005, 4.2355, 4.341, 4.4544000000000015, 4.5712, 4.6958]",0.0089,0.0089,0,0,0.5,2.0,0.0,0,0,1,1,0,1,1,0,0,0.0,0.5,LR,0.0,FD,0,30,0.5,0.5,0.5,/dev/ttyACM-Bpod0,stage_training_v5,Alexis,pv_nmdar_eranet,Ephys,Bpod0,4,36000,4,1.8.2,004_stage_training_v5_20240524-124842,2024-05-24,12:48:54.839201,14:11:27.912016
