Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,Wait
0,0,,0,0,1,0,,,,,0,0.337132,14.414936,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
1,0,,1,0,0,0,1.0,,0.0,,1,14.431032,19.459636,5.0286040000000005,2.8181000000000003,4.0285,1.2104,3.0682,4.0115,0.9432999999999998,aaa,aaa,1,,0,1,0,1,-70.0,,"[4.0115, 4.0817000000000005, 4.6767, 4.7674]","[4.0327, 4.1241, 4.6937000000000015, 4.812]",[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
2,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,19.507532,27.222436,7.714903999999998,2.8181000000000003,6.7148,3.8967,3.0682,6.6978,3.6296,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[6.6978],[],[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
3,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,27.249332,31.599736,4.350404000000001,2.8181000000000003,3.3503000000000003,0.5322,3.0682,3.3333000000000004,0.2651000000000003,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[3.3333000000000004, 3.4226, 3.6911, 3.864, 3.9523, 4.1309000000000005, 4.2275]","[0.0156, 3.4114, 3.4333, 3.716, 3.9036, 4.1202000000000005, 4.1967]",[3.4553000000000003],[3.7859],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
4,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,31.614532,35.975436,4.3609040000000014,2.8181000000000003,3.3608,0.5426999999999995,3.0682,3.3438000000000003,0.2756000000000003,aaa,,0,,0,1,1,2,-70.0,70.0,"[0.0046, 3.3438000000000003]",[0.0058000000000000005],[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
5,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,35.989432,40.345536,4.356104000000002,2.8181000000000003,3.3560000000000003,0.5379,3.0682,3.339,0.2707999999999999,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[0.02, 3.339]","[0.0143, 0.0218]",[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
6,0,1.0,1,0,0,1,0.0,1.0,0.0,1.0,1,40.357932,52.605536,12.247604000000004,2.8181000000000003,11.2475,8.429400000000001,3.0682,7.7023,4.6341,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[11.2305, 11.248, 11.2788, 11.7951, 11.8982, 11.9498, 11.9552]","[11.2293, 11.24, 11.2739, 11.775, 11.8253, 11.9496, 11.9499, 12.1273]","[7.7023, 7.9111, 8.193900000000001, 8.247300000000001, 8.3064, 9.1379, 9.1843, 9.3346, 9.4736, 9.7436, 9.7641, 9.7647, 9.765, 9.7655, 9.7661, 9.7837, 9.8667, 10.2429, 10.7482, 10.856, 11.0342]","[7.7381, 8.1477, 8.2005, 8.281, 8.3477, 9.1724, 9.2448, 9.4583, 9.6843, 9.7633, 9.7644, 9.7649, 9.7654, 9.7657, 9.7706, 9.8032, 9.9072, 10.2526, 10.8053, 11.0187, 11.136]",0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
7,0,1.0,0,0,0,1,0.0,0.0,1.0,0.0,1,52.62103199999999,68.558736,15.937703999999997,2.8181000000000003,14.937600000000002,12.119500000000002,3.0682,4.9281000000000015,1.8599000000000008,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[],[],"[4.9281000000000015, 5.0894, 8.2971, 8.4961, 10.238, 12.5775]","[4.9398, 5.1030000000000015, 8.314, 8.534600000000001, 10.2704, 12.585999999999999]",0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
8,0,0.0,1,0,0,0,1.0,0.0,0.0,0.0,1,68.575532,75.195236,6.619703999999999,2.8181000000000003,5.6196,2.8015,3.0682,5.6026000000000025,2.5344000000000007,aaa,aaa,1,,0,1,0,1,-70.0,-70.0,[5.602600000000002],[5.6419000000000015],[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
9,0,1.0,0,0,1,0,,1.0,,,0,75.210032,89.287836,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[0.9343],[0.9377],[],[],0.0075,0.0077,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod6,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod6,7,36006,7,1.8.2,007_stage_training_v5_20240306-185000,2024-03-06,18:50:12.554087,19:57:39.089529,
