Trial,Side,RepTrial,Reward,Punish,Miss,WrongLick,Hit,AfterHit,Choice,RepChoice,Response,TrialStart,TrialEnd,TrialLen,StimStart,StimEnd,StimLen,RespWinStart,RespWinEnd,RespWinLen,Filename,Filename2,FilesMatch,Message,MessageFound,SoundLeft,SoundRight,Sound,ILD,ILDRep,Port1In,Port1Out,Port2In,Port2Out,ValveLeft,ValveRight,AW,AWTrials,Switch,Timeout,Fixation,Stage,Motor,REC,Progression,CB,RespWin,ITI,WarmUp,RecoveryMode,P,PRight,Blocks,BlockLen,Task,Ephys,StimDur,Delay,VarDelay,SerialPort,Protocol,Creator,Project,Experiment,Board,Setup,NetPort,Subject,BpodApiVersion,Session,Date,SessionStart,SessionEnd,Wait
0,0,,0,0,1,0,,,,,0,0.337312,14.415116,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
1,0,,0,0,1,0,,,,,0,14.427712,28.505516,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
2,0,,1,0,0,0,1.0,,0.0,,1,28.549912,33.923915,5.374003000000003,2.8181000000000003,4.3739,1.5557999999999996,3.0682,4.3545,1.2862999999999998,aaa,aaa,1,,0,1,0,1,-70.0,,"[0.1627, 0.5155000000000001, 4.3545, 4.4140000000000015]","[0.22, 0.5395, 4.4034, 4.4827]",[4.4372],[4.5169999999999995],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
3,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,33.937712,45.138716,11.201004000000005,2.8181000000000003,10.2009,7.3828,3.0682,10.1815,7.1133,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[10.1815, 10.238, 10.2859, 10.474]","[10.2314, 10.2446, 10.3577, 10.4829]","[10.3814, 10.4225]","[10.3818, 10.4294]",0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
4,0,1.0,1,0,0,0,1.0,1.0,0.0,1.0,1,45.151812,53.633315,8.481503000000004,2.8181000000000003,7.481400000000002,4.663300000000001,3.0682,7.4620000000000015,4.3938000000000015,aaa,aaa,1,,0,1,0,1,-70.0,70.0,"[7.4620000000000015, 7.5291000000000015, 7.5402, 7.5739]","[7.483, 7.537400000000001, 7.5689, 7.6434000000000015]",[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
5,0,1.0,0,0,1,0,,1.0,,,0,53.646412,67.724216,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
6,0,,0,0,1,0,,,,,0,67.737112,81.814916,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
7,0,,0,0,1,0,,,,,0,81.828412,95.906216,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
8,0,,0,0,1,0,,,,,0,95.921312,109.999116,14.077804,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
9,0,,1,0,0,0,1.0,,0.0,,1,110.011612,121.381116,11.369504000000004,2.8181000000000003,10.3694,7.5513,3.0682,10.35,7.2818,aaa,aaa,1,,0,1,0,1,-70.0,,[10.35],[10.3782],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
10,0,1.0,0,0,1,0,,1.0,,,0,121.396312,135.47411599999998,14.077804000000016,2.8181000000000003,13.0777,10.2596,3.0682,13.0682,10.0,aaa,aaa,1,,0,1,0,1,-70.0,70.0,[],[],[],[],0.0099,0.008,0,0,1.0,0.0,0.0,0,0,1,0,0,10,1,0,0,0.0,0.5,LR,20.0,RT,,0.25,0.0,9.999999999976694e-05,/dev/ttyACM-Bpod5,stage_training_v5,Alexis,pv_nmdar_eranet,2AFC_5,Bpod5,2,36005,2,1.8.2,002_stage_training_v5_20240306-172621,2024-03-06,17:26:33.264092,18:39:49.241703,
